ward,type,location,year,est_cost,id,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
31,Street Light Upgrade Menu,3535 N LAVERGNE AVE,2021,750,27729,census,"c(-87.751949872, 41.944600538)",38,24,38024
33,Miscellaneous CDOT Projects,3537 W LAWRENCE AVE,2022,2600,29426,census,"c(-87.717246747, 41.9683588570001)",33,27,33027
12,POD Camera,3558 S California,2007,18000,9588,census,"c(-87.694793155, 41.8289261840001)",12,2,12002
30,Alley Resurfacing Menu,3570 N MILWAUKEEAVE,2021,36430.66,26670,google,"c(-87.7345854, 41.945506)",30,13,30013
36,Miscellaneous-Other,36 th ward library,2007,500000,31585,google,"c(-87.7899672, 41.9257801)",36,3,36003
23,Alley Speed Hump Menu,3607 W 61ST ST,2022,1050,20564,census,"c(-87.71344368, 41.7824418430001)",13,20,13020
44,Alley Apron Menu,3614 N WILTON AVE,2021,10950.52,38843,census,"c(-87.653146788, 41.9479901980001)",44,28,44028
26,Alley Resurfacing Menu,3615 WDICKENS AVE,2022,23288.325,23153,google,"c(-87.7174288, 41.9191056)",26,24,26024
47,Street Light Upgrade Menu,3634 N WESTERN AVE,2021,500,41323,census,"c(-87.6882812599999, 41.9474187050001)",47,9,47009
23,Alley Apron Menu,3655 W 60TH PL,2022,9899.33333333333,20552,census,"c(-87.714502416, 41.7833333780001)",13,20,13020
23,Alley Apron Menu,3700 W 58TH ST,2022,7864.03,20555,census,"c(-87.715853044, 41.787873231)",14,1,14001
23,Alley Apron Menu,3701 W 60TH PL,2021,8208.67,20478,census,"c(-87.715720719, 41.7833157650001)",13,20,13020
12,Sidewalk Menu,3712 S HONORE ST,2021,3269.635,10307,census,"c(-87.67151468, 41.8264496130001)",11,6,11006
44,Alley Resurfacing Menu,3717 N RACINE AVE,2021,9723.235,38852,census,"c(-87.659217165, 41.9495486860001)",44,32,44032
44,Curb & Gutter Menu,3719 NLAKEWOOD AVE,2021,11836.46,38868,google,"c(-87.6613624, 41.9495796)",44,32,44032
31,Alley Apron Menu,3725 WWRIGHTWOOD AVE,2021,5888.08,27694,google,"c(-87.7205836, 41.9279952)",35,2,35002
33,Street Light Upgrade Menu,3738 N SACRAMENTO AVE,2021,500,29374,census,"c(-87.703003687, 41.9492342510001)",33,22,33022
24,Alley Resurfacing Menu,3752 W 16TH ST,2022,15895.61,21277,census,"c(-87.719519194, 41.8589319710001)",24,34,24034
23,Alley Apron Menu,3759 W 57TH PL,2022,9174.38333333333,20557,census,"c(-87.7170956099999, 41.7887548030001)",14,1,14001
35,Floodlight Menu,3812 W WILSON AVE,2021,950,31259,census,"c(-87.7231439509999, 41.96465722)",39,24,39024
12,POD Camera,3825 California,2008,15000,9631,google,"c(-87.6963543, 41.8842052)",27,36,27036
12,Alley Resurfacing Menu,3844 S HONORE ST,2022,3474.725,10348,census,"c(-87.671450103, 41.824320679)",11,6,11006
26,Sidewalk Menu,3901 W LE MOYNE ST,2022,3742.22666666667,23180,census,"c(-87.724083051, 41.9080922690001)",30,26,30026
35,Street Light Upgrade Menu,3933 N BERNARD ST,2021,500,31299,census,"c(-87.714064703, 41.952491756)",35,26,35026
43,Curb & Gutter Menu,400 W DEMING PL,2021,13727.88,38041,census,"c(-87.639375764, 41.9296652740001)",43,12,43012
47,Street Bump Outs Menu,4015 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693224076, 41.954286831)",47,16,47016
26,Alley Resurfacing Menu,4016 W KAMERLINGAVE,2021,22575.86,23087,google,"c(-87.7268195, 41.9053734)",27,30,27030
47,Street Bump Outs Menu,4045 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693241316, 41.954861355)",47,16,47016
4,Chicago Park District,41 st St. Beach House,2009,290000,3348,google,"c(-87.6841534, 41.8193398)",12,19,12019
4,Chicago Park District,41 st Street Beach House,2010,250000,3375,google,"c(-87.6841534, 41.8193398)",12,19,12019
24,5 POD Camera + 5 LPR Existing Cameras: Various Locations,4100 W ARTHINGTON ST,2021,33552.8,21217,census,"c(-87.728416827, 41.8699947010001)",24,32,24032
26,Alley Resurfacing Menu,4101 W NORTH AVE,2022,18309.04,23157,census,"c(-87.729118878, 41.9098295140001)",30,16,30016
47,Street Bump Outs Menu,4121 N ROCKWELL ST,2021,6654.7275,41312,census,"c(-87.693281978, 41.9562923550001)",47,16,47016
18,Speed Indicator Signs,4139 W 79TH ST,2021,14000,16166,census,"c(-87.725279429, 41.749438157)",13,21,13021
46,Speed Indicator Signs,4140 N MARINE DR,2022,7000,40288,census,"c(-87.646255104, 41.9575688680001)",46,39,46039
12,POD Camera,4200 California,2008,15000,9631,google,"c(-87.7280098, 41.7913459)",13,15,13015
35,Miscellaneous CDOT Projects,4201 N ST LOUIS AVE,2021,660,31283,census,"c(-87.71546956, 41.9576077780001)",33,19,33019
22,Street Speed Hump Menu,4210 W 25TH ST,2021,1175,19162,census,"c(-87.7297352859999, 41.8460167610001)",22,23,22023
18,Speed Indicator Signs,4260 W 79TH PL,2021,14000,16166,census,"c(-87.728926945, 41.7488751550001)",13,11,13011
46,Concrete Alley Menu,4300 N MARINEDR,2021,1686.78,40230,google,"c(-87.6471009, 41.9613116)",46,33,46033
46,Concrete Alley Menu,4300 N MARINEDR,2022,29028.735,40271,google,"c(-87.6471009, 41.9613116)",46,33,46033
37,Alley Resurfacing Menu,4300 W AUGUSTABLVD,2021,18809.065,33008,google,"c(-87.733763, 41.8991142)",37,28,37028
24,Alley Speed Hump Menu,4300 W CULLERTON ST,2021,700,21234,census,"c(-87.732297116, 41.854314888)",24,1,24001
26,Sidewalk Menu,4305 W LE MOYNE ST,2021,51631.255,23116,census,"c(-87.733993707, 41.9076591900001)",37,42,37042
13,Bollard Menu,4308 W MARQUETTE RD,2021,2495.11,11394,census,"c(-87.730324584, 41.7712882230001)",13,5,13005
15,Alley Apron Menu,4312 S ARTESIAN AVE,2022,11398.045,13811,census,"c(-87.685890183, 41.8150072980001)",12,19,12019
33,Alley Resurfacing Menu,4313 N MOZARTST,2021,15885.36,29330,google,"c(-87.6993812, 41.9598825)",33,23,33023
39,Miscellaneous Other,4321 W Peterson Ave,2012,264865,34287,census,"c(-87.737205753, 41.99002454)",39,37,39037
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2021,31861.26,19139,census,"c(-87.731784492, 41.8441588850001)",22,6,22006
22,Arterial Street Bump Outs Menu,4332 W 26TH ST,2022,15779.715,19195,census,"c(-87.731784492, 41.8441588850001)",22,6,22006
33,Street Light Upgrade Menu,4338 N FRANCISCO AVE,2021,500,29374,census,"c(-87.700878774, 41.959966482)",33,23,33023
3,Miscellaneous CDOT Projects,435 E 43RD ST,2021,75,3110,census,"c(-87.6162623499999, 41.816636009)",3,16,03016
22,Street Resurfacing Menu,4400 S LAWLER AVE,2022,26653.55,19230,census,"c(-87.74941219, 41.8125148460001)",23,21,23021
46,Alley Speed Hump Menu,4417 N BEACONST,2021,350,40225,google,"c(-87.6633982, 41.9622677)",46,12,46012
39,Speed Indicator Signs,4418 W FOSTER AVE,2021,5500,34632,google,"c(-87.7384218, 41.9756551)",39,11,39011
46,Speed Indicator Signs,4420 N BEACON ST,2022,5500,40289,census,"c(-87.6637446089999, 41.9621245780001)",46,12,46012
46,Miscellaneous CDOT Projects,4438 N RACINE AVE,2021,16398.165,40234,census,"c(-87.65961385, 41.96339662)",46,12,46012
15,Alley Apron Menu,4444 S ARTESIAN AVE,2021,11107.7,13739,census,"c(-87.6858411379999, 41.813216981)",12,3,12003
33,Street Speed Hump Menu,4500 NRICHMOND ST,2022,2350,29448,google,"c(-87.7021793, 41.9630544)",33,24,33024
12,POD Camera,4500 Talman,2008,15000,9631,google,"c(-87.6909848, 41.8118458)",12,4,12004
46,Sidewalk Menu,4545 N BROADWAY,2021,6885.77,40241,census,"c(-87.657020345, 41.964707391)",46,38,46038
46,Sidewalk Menu,4545 N BROADWAY,2022,15207.37,40279,census,"c(-87.657020345, 41.964707391)",46,38,46038
2,Alley Resurfacing Menu,455 W NORTHAVE,2022,16638.72,2464,google,"c(-87.6408101, 41.9108133)",43,37,43037
31,Sidewalk Menu,4558 W SCHUBERT AVE,2022,7363.13,27765,census,"c(-87.7412468639999, 41.9295877610001)",31,7,31007
33,Miscellaneous CDOT Projects,4600 N KIMBALL AVE,2022,2600,29426,census,"c(-87.71325727, 41.9647412400001)",33,27,33027
14,Alley Resurfacing Menu (1-1),4600 S CHRISTIANA AVE,2021,18579.545,12900,census,"c(-87.707623833, 41.8097904420001)",14,20,14020
15,Alley Resurfacing Menu,4600 SHONORE ST,2022,17912.5466666667,13817,google,"c(-87.6714177, 41.8102161)",20,21,20021
15,Alley Resurfacing Menu,4601 SWINCHESTER AVE,2022,18914.01,13818,google,"c(-87.6731569, 41.8102371)",20,21,20021
4,POD Camera,4659 S Cottage Grove,2007,24000,3295,census,"c(-87.606577901, 41.8106128160001)",4,26,04026
37,Alley Resurfacing Menu,4719 WGRAND AVE,2021,41000,33007,google,"c(-87.7443187, 41.9130435)",37,2,37002
14,Sidewalk Menu,4743 S KOLIN AVE,2022,4616.86666666667,12974,census,"c(-87.7321122549999, 41.806742382)",23,5,23005
14,Sidewalk Menu,4747 S KOLIN AVE,2022,4616.86666666667,12974,census,"c(-87.7321107769999, 41.8066930420001)",23,5,23005
20,Alley Speed Hump Menu,4758 S RACINE AVE,2021,1050,17490,census,"c(-87.655213942, 41.807251465)",3,19,03019
31,Street Resurfacing Menu,4800- 4832 W NEWPORT AVE,2020,8977.735,27680,census,"c(-87.748439705, 41.9433758420001)",38,24,38024
33,Miscellaneous CDOT Projects,4801 N CENTRAL PARK AVE,2022,2600,29426,census,"c(-87.718247166, 41.96838826)",39,22,39022
33,Miscellaneous CDOT Projects,4801 N STLOUIS AVE,2022,2600,29426,census,"c(-87.7157997049999, 41.9684164670001)",39,22,39022
3,Alley Speed Hump Menu,4810 S INDIANA AVE,2022,350,3176,census,"c(-87.621162198, 41.8071901640001)",3,35,03035
31,Street Light Upgrade Menu,4812 W NEWPORT AVE,2021,750,27729,census,"c(-87.74811385, 41.9433799770001)",38,24,38024
40,Sidewalk Menu,4820 N WASHTENAW AVE,2022,1217.80666666667,35458,census,"c(-87.696294692, 41.9699250300001)",40,6,40006
14,Alley Resurfacing Menu,4822 S RIDGEWAY AVE,2021,14756.98,12903,census,"c(-87.7173795699999, 41.805107992)",14,13,14013
4,Speed Indicator Signs,4825 S DREXEL BLVD,2022,8333.33333333333,3827,census,"c(-87.603837109, 41.8072279670001)",4,40,04040
30,Sidewalk Menu,4834 W WAVELAND AVE,2022,3989.935,26772,census,"c(-87.748296082, 41.9479496280001)",45,1,45001
31,Street Light Upgrade Menu,4858 W MELROSE ST,2021,750,27729,census,"c(-87.7485877679999, 41.9397249620001)",30,9,30009
6,Sidewalk Menu,49 W 77TH PL,2022,5052.88,5041,census,"c(-87.626557073, 41.7536463610001)",6,19,06019
48,Alley Resurfacing Menu,4900 N SHERIDAN RD,2022,7888.115,42214,census,"c(-87.654890962, 41.971722347)",46,40,46040
37,Sidewalk Menu,4900 W POTOMAC AVE,2021,4936.765,33017,census,"c(-87.7486556329999, 41.904148467)",37,43,37043
37,Alley Resurfacing Menu,4900 W WALTON ST,2022,2056.635,33070,census,"c(-87.748514557, 41.897730305)",37,20,37020
3,Alley Resurfacing Menu,4906 S INDIANA AVE,2022,23593.905,3167,census,"c(-87.621116795, 41.805431578)",3,40,03040
33,Street Speed Hump Menu,4917 N DRAKEAVE,2021,2350,29392,google,"c(-87.7167801, 41.9707806)",39,12,39012
48,Miscellaneous Other,4919 N Winthrop Ave,2013,10325,41716,census,"c(-87.657688567, 41.9719465910001)",48,35,48035
31,Street Light Upgrade Menu,4923 W BARRY AVE,2022,500,27782,census,"c(-87.749922789, 41.9369572320001)",31,9,31009
33,Sidewalk Menu,4925 N MONTICELLO AVE,2022,11360.8233333333,29438,census,"c(-87.719529385, 41.970677197)",39,12,39012
5,Street Bump Outs Menu,4930 S CORNELL AVE,2021,5878.425,4461,census,"c(-87.586499654, 41.8049567680001)",4,48,04048
45,POD Camera,4956 Bell Plaine Ave,2007,24000,39084,census,"c(-87.7508659549999, 41.9552038)",45,31,45031
33,Sidewalk Menu,4957 N MONTICELLO AVE,2022,11360.8233333333,29438,census,"c(-87.719544075, 41.971176653)",39,12,39012
31,Street Light Upgrade Menu,5000 W FLETCHER ST,2021,750,27729,census,"c(-87.751951902, 41.9378568180001)",30,9,30009
39,Miscellaneous CDOT Projects,5001 N PULASKI RD,2021,2537.5,34625,census,"c(-87.728167597, 41.973567765)",39,29,39029
29,Alley Speed Hump Menu,5045 WGLADYS AVE,2022,1400,25552,google,"c(-87.7510929, 41.8755636)",29,3,29003
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,5100 N FRANCISCO AVE,2022,40000,35451,census,"c(-87.701305379, 41.974040163)",40,17,40017
23,Speed Indicator Signs,5185 S ARCHER AVE,2021,11000,20518,census,"c(-87.7338305649999, 41.800088299)",23,41,23041
37,Street Resurfacing Menu,5200 N LARAMIE AVE,2022,53917.925,33097,census,"c(-87.7577960409999, 41.9757896410001)",45,35,45035
16,POD Camera,5200 S Ada,2006,24000,13947,google,"c(-87.6586501, 41.7995761)",16,18,16018
31,Alley Speed Hump Menu,5218 WDIVERSEY AVE,2022,700,27752,google,"c(-87.7572473, 41.931589)",31,45,31045
31,Street Resurfacing Menu,5219 W WRIGHTWOOD AVE,2021,7252.48375,27730,census,"c(-87.757325207, 41.9277599600001)",31,10,31010
14,Sidewalk Menu,5220 S NATOMA AVE,2022,9960.42,12987,census,"c(-87.788063638, 41.7973065470001)",23,16,23016
3,Miscellaneous CDOT Projects,5221 S WABASH AVE,2021,133.065,3114,census,"c(-87.6242000089999, 41.7993976880001)",3,27,03027
31,Street Light Upgrade Menu,5236 W SCHOOL ST,2021,750,27729,census,"c(-87.757701341, 41.9405213260001)",38,2,38002
29,Alley Resurfacing Menu,5255 WJACKSON BLVD,2022,20831.59,25549,google,"c(-87.757055, 41.8764)",29,14,29014
14,Sidewalk Menu,5258 S MULLIGAN AVE,2022,13315.12,12991,census,"c(-87.780729697, 41.796817596)",23,14,23014
23,Alley Apron Menu,5258 S SAYRE AVE,2021,14086.015,20479,census,"c(-87.7965831829999, 41.796603164)",23,13,23013
31,Sidewalk Menu,5259 WOAKDALE AVE,2022,3721.4,27773,google,"c(-87.7587723, 41.9339244)",31,45,31045
4,POD Camera,5299 S Drexel,2006,36000,3264,census,"c(-87.60391047, 41.7994674450001)",4,13,04013
16,Bollard Menu,5300 S DAMEN AVE,2022,1668.935,14658,census,"c(-87.6744080349999, 41.7975133900001)",16,7,16007
23,Street Resurfacing Menu,5300 S NAGLE AVE,2022,23240.61,20606,census,"c(-87.7831414189999, 41.795882465)",23,3,23003
29,Miscellaneous CDOT Projects,5300 W VAN BUREN ST,2022,125,25563,census,"c(-87.757814981, 41.874821088)",29,38,29038
23,Alley Speed Hump Menu,5301 S HARDING AVE,2021,466.666666666667,20486,census,"c(-87.722024246, 41.796728989)",23,29,23029
3,Miscellaneous CDOT Projects,5314 S INDIANA AVE,2021,150,3116,census,"c(-87.6209317289999, 41.797872312)",3,8,03008
30,Curb & Gutter Menu,5318 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.7597469849999, 41.939581821)",38,6,38006
30,Curb & Gutter Menu,5319 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.7597467149999, 41.9395708590001)",38,6,38006
30,Curb & Gutter Menu,5323 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.759830784, 41.9395697100001)",38,6,38006
30,Curb & Gutter Menu,5328 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.759957159, 41.9395789500001)",38,6,38006
40,Street Light Upgrade Menu,5334 N CALIFORNIA AVE,2021,331.12,35417,census,"c(-87.699020705, 41.9786812030001)",40,34,40034
29,Miscellaneous CDOT Projects,5339 W MONROE ST,2022,125,25563,census,"c(-87.758649447, 41.879327673)",29,1,29001
30,Curb & Gutter Menu,5340 W,2022,2293.26444444444,26748,google,"c(-87.7597293, 41.8951563)",37,18,37018
23,Alley Speed Hump Menu,5344 S MILLARD AVE,2021,350,20487,census,"c(-87.714672175, 41.79637775)",23,9,23009
23,Viaduct Improvement Menu,5346 S CICERO AVE,2021,21183.24,20545,census,"c(-87.742897386, 41.794972214)",23,8,23008
30,Curb & Gutter Menu,5347 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.760335201, 41.9395628190001)",38,6,38006
30,Curb & Gutter Menu,5353 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.760461305, 41.939561096)",38,6,38006
30,Curb & Gutter Menu,5355 W MELROSE ST,2022,2293.26444444444,26748,census,"c(-87.76050334, 41.9395605220001)",38,6,38006
23,Alley Apron Menu,5358 S HAMLIN AVE,2021,7512,20480,census,"c(-87.718324373, 41.795452536)",23,29,23029
39,Miscellaneous CDOT Projects,5363 W DEVON AVE,2021,8333.33333333333,34622,census,"c(-87.7628742699999, 41.9973217080001)",45,5,45005
39,Street Resurfacing Menu,5400 N LAPORTE AVE,2021,11898.905,34641,census,"c(-87.752043536, 41.9806057830001)",45,36,45036
29,Alley Resurfacing Menu,5400 W QUINCY ST,2021,35012.575,25454,census,"c(-87.759674467, 41.8775153390001)",29,1,29001
39,Miscellaneous CDOT Projects,5405 W DEVON AVE,2021,8333.33333333333,34622,census,"c(-87.7639498089999, 41.9973257280001)",41,14,41014
31,Street Light Upgrade Menu,5418 W SCHUBERT AVE,2022,500,27784,census,"c(-87.76184208, 41.9295160130001)",30,14,30014
45,Chicago Park District,5421 N. Menard,2006,100000,39035,census,"c(-87.773231939, 41.9798793790001)",45,32,45032
31,Street Light Upgrade Menu,5428 W SCHUBERT AVE,2022,500,27784,census,"c(-87.762052621, 41.9295131370001)",30,14,30014
23,Street Light Upgrade Menu,5430 S NOTTINGHAM AVE,2022,500,20600,census,"c(-87.7990414129999, 41.7934660400001)",23,27,23027
31,Street Light Upgrade Menu,5435 W SCHUBERT AVE,2022,500,27784,census,"c(-87.762178675, 41.929500449)",30,14,30014
13,Sidewalk Menu,5442 W 63RD PL,2021,2627.82,11436,census,"c(-87.7582451819999, 41.7772293150001)",13,43,13043
37,Alley Resurfacing Menu,5445 W NORTH AVE,2022,14769.55,33069,census,"c(-87.76302481, 41.9094052350001)",37,6,37006
31,Street Light Upgrade Menu,5456 WSCHUBERT AVE,2022,500,27784,google,"c(-87.7635577, 41.9297604)",30,14,30014
6,Sidewalk Menu,55 W 77TH PL,2022,12003.495,5042,census,"c(-87.626611028, 41.75364533)",6,19,06019
30,Curb & Gutter Menu,5515 W PARKER AVE,2022,3452.64,26749,census,"c(-87.7642460499999, 41.9303865540001)",30,14,30014
29,Miscellaneous CDOT Projects,5517 W WEST END AVE,2022,125,25563,census,"c(-87.763624109, 41.8842471230001)",29,21,29021
30,Curb & Gutter Menu,5518 W PARKER AVE,2022,3452.64,26749,census,"c(-87.7643305299999, 41.93039637)",30,14,30014
13,Sidewalk Menu,5521 S KOLMAR AVE,2021,741.433333333333,11438,census,"c(-87.736606383, 41.7922910290001)",13,7,13007
31,Street Light Upgrade Menu,5521 W DRUMMOND PL,2022,500,27786,census,"c(-87.764513844, 41.928558454)",30,14,30014
37,Alley Resurfacing Menu,5527 W CRYSTAL ST,2022,15498.985,33065,census,"c(-87.764784119, 41.9030551620001)",37,5,37005
30,Curb & Gutter Menu,5529 W PARKER AVE,2022,3452.64,26749,census,"c(-87.7645407859999, 41.930382539)",30,14,30014
30,Curb & Gutter Menu,5536 W PARKER AVE,2022,3452.64,26749,census,"c(-87.764709476, 41.9303912070001)",30,14,30014
30,Curb & Gutter Menu,5537 W PARKER AVE,2022,3452.64,26749,census,"c(-87.764709207, 41.930380244)",30,14,30014
31,Street Light Upgrade Menu,5537 W SCHUBERT AVE,2022,500,27787,census,"c(-87.764677048, 41.9294677300001)",30,14,30014
31,Street Light Upgrade Menu,5539 W DRUMMOND PL,2022,500,27786,census,"c(-87.765121624, 41.9285509100001)",30,14,30014
29,Alley Resurfacing Menu,5548 W GLADYS AVE,2022,19183.98,25550,census,"c(-87.763148068, 41.8756572260001)",29,42,29042
31,Street Light Upgrade Menu,5555 W DRUMMONDPL,2022,500,27786,google,"c(-87.765889, 41.928284)",30,14,30014
36,Alley Resurfacing Menu,5600 W NEWPORTAVE,2022,17799.96,32210,google,"c(-87.7669187, 41.9432512)",38,17,38017
23,Alley Apron Menu,5601 S MASSASOIT AVE,2021,7630.175,20481,census,"c(-87.76587985, 41.790687162)",23,4,23004
13,Sidewalk Menu,5606 S KEELER AVE,2021,1487.98,11444,census,"c(-87.7280118529999, 41.7911226840001)",13,24,13024
36,Alley Resurfacing Menu,5615 W EDDY ST,2022,16987.515,32209,census,"c(-87.767694397, 41.944947407)",38,17,38017
13,Alley Resurfacing Menu,5623 S MEADE AVE,2022,12027.625,11545,census,"c(-87.7744030169999, 41.790161391)",23,19,23019
48,Alley Resurfacing Menu,5648 NMAGNOLIA AVE,2022,5542.83,42211,google,"c(-87.6615597, 41.985054)",48,1,48001
14,Alley Resurfacing Menu,5723 S WHIPPLE ST,2021,16885.315,12904,census,"c(-87.6997719079999, 41.7894573570001)",14,24,14024
36,Alley Resurfacing Menu,5800 W ROSCOEST,2022,14727.435,32214,google,"c(-87.7717118, 41.9424149)",38,13,38013
40,Concrete Alley Menu,5814 NHERMITAGE AVE,2021,70000,35400,google,"c(-87.6733534, 41.987189)",40,36,40036
23,Alley Speed Hump Menu,5817 S TRUMBULL AVE,2021,245.83,20488,census,"c(-87.70950556, 41.787674827)",14,4,14004
13,Sidewalk Menu,5825 S RUTHERFORD AVE,2022,6619.975,11569,census,"c(-87.790120381, 41.7861856170001)",23,11,23011
20,Miscellaneous CDOT Projects,5828 S DR MARTIN LUTHER KING JR DR,2022,150,17524,google,"c(-87.6161899, 41.7885087)",20,11,20011
40,POD Camera,5900 N California,2006,36000,34802,census,"c(-87.699347228, 41.9886888080001)",40,30,40030
29,Street Speed Hump Menu,5900 W IOWAST,2021,2350,25527,google,"c(-87.7725921, 41.8968484)",29,48,29048
29,Miscellaneous CDOT Projects,5930 WCHICAGO AVE,2022,125,25563,google,"c(-87.773667, 41.895014)",29,45,29045
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,5941 N RICHMOND ST,2022,40000,35451,census,"c(-87.703022076, 41.9901387570001)",40,30,40030
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,600 S STATE ST,2021,27410,3763,census,"c(-87.627673091, 41.8745384710001)",2,35,02035
13,POD Camera,6000 S Keeler,2007,12000,10586,census,"c(-87.727799628, 41.783925718)",13,16,13016
40,Concrete Alley Menu,6001 N PAULINA ST,2021,8919.27,35401,census,"c(-87.671769325, 41.99080573)",40,27,40027
40,Concrete Alley Menu,6001 N PAULINA ST,2022,56080.73,35446,census,"c(-87.671769325, 41.99080573)",40,27,40027
13,Street Light Upgrade Menu,6058 S MASON AVE,2022,500,11601,census,"c(-87.770447008, 41.782315759)",13,8,13008
50,Street Light Upgrade Menu,6090 N ALBANY AVE,2021,500,43519,census,"c(-87.706766612, 41.9927540260001)",50,23,50023
16,Street Resurfacing Menu,6100 S PEORIA ST,2022,16644.87,14669,census,"c(-87.647312815, 41.7832865880001)",16,27,16027
44,Alley Resurfacing Menu,611 W SURF ST,2021,4736.0575,38846,census,"c(-87.644679294, 41.9348648320001)",44,45,44045
50,Alley Speed Hump Menu,6111 NMOZART ST,2022,350,43548,google,"c(-87.7003451, 41.9925602)",50,24,50024
23,Speed Indicator Signs,6115 S PULASKI RD,2021,14000,20519,census,"c(-87.7228484459999, 41.7821139060001)",13,18,13018
43,Concrete Alley Menu,613 W BELDEN AVE,2022,120969.665,38079,census,"c(-87.644449052, 41.9236918450001)",43,7,43007
27,Alley Resurfacing Menu,617 W EVERGREEN AVE,2022,10050.41,23949,census,"c(-87.6466430419999, 41.9063797970001)",27,6,27006
13,Sidewalk Menu,6200 S MULLIGAN AVE,2021,1319.535,11506,census,"c(-87.780111609, 41.7794232690001)",23,38,23038
50,Miscellaneous-CDOT,6201 Monticello,2005,8568,43067,google,"c(-87.7199017, 41.9938853)",50,44,50044
13,Street Light Upgrade Menu,6310 S LOREL AVE,2022,500,11600,census,"c(-87.755629964, 41.777494109)",13,43,13043
13,POD Camera,6340 Cicero,2007,24000,10584,google,"c(-87.7483347, 41.9968372)",39,15,39015
27,Sidewalk Menu,639 N HOMAN AVE,2022,24175.9433333333,23963,census,"c(-87.711339697, 41.8926016020001)",27,44,27044
49,Alley Resurfacing Menu,6412 N MAGNOLIAAVE,2021,30744.64,42956,census,"c(-87.7862662219999, 41.9091403640001)",36,24,36024
20,Miscellaneous CDOT Projects,6555 S INGLESIDE AVE,2022,75,17525,census,"c(-87.6021665439999, 41.775831827)",20,29,20029
49,Alley Resurfacing Menu,6600 NLAKEWOOD AVE,2022,10181.155,43019,google,"c(-87.663018, 42.0025243)",40,13,40013
5,Miscellaneous CDOT Projects,6602 SDREXEL AVE,2022,187.5,4478,google,"c(-87.603726, 41.774834)",5,16,05016
50,Curb & Gutter Menu,6757 N RICHMOND ST,2021,731.6,43510,census,"c(-87.7034010679999, 42.004343664)",50,40,50040
23,Diagonal Parking Menu,6758 W ARCHER AVE,2022,20000,20572,census,"c(-87.790934797, 41.7921742930001)",23,47,23047
20,Guardrail Menu,6858 DR. MARTIN LUTHER KING JR. DR,2008,1011,17002,google,"c(-87.6155925, 41.7695075)",20,28,20028
29,Sidewalk Menu,6928 W PALMER ST,2021,10624.77,25494,census,"c(-87.799316542, 41.919920602)",36,2,36002
29,Sidewalk Menu,6928 W PALMER ST,2022,17875.065,25574,census,"c(-87.799316542, 41.919920602)",36,2,36002
36,Sidewalk Menu,6928 W PALMER ST,2021,28499.835,32183,census,"c(-87.799316542, 41.919920602)",36,2,36002
38,Speed Indicator Signs,6949 W IRVING PARK RD,2022,9333.33333333333,33942,census,"c(-87.800644715, 41.952742834)",38,38,38038
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,7000 S EAST END AVE,2021,35747,4449,census,"c(-87.5828320379999, 41.7677834880001)",5,21,05021
38,Speed Indicator Signs,7015 W IRVING PARK RD,2022,9333.33333333333,33942,census,"c(-87.8017203219999, 41.9527451770001)",38,38,38038
5,6 POD Cameras; 6 LPR on Existing Cameras: Various Locations,7100 S DORCHESTER AVE,2021,35747,4449,census,"c(-87.590973929, 41.7650735290001)",5,2,05002
29,Alley Resurfacing Menu,7117 W BELMONTAVE,2021,12369.685,25455,google,"c(-87.804725, 41.937847)",36,20,36020
5,Miscellaneous CDOT Projects,7138 S INGLESIDE AVE,2022,187.5,4478,census,"c(-87.601881443, 41.7647845990001)",5,2,05002
7,Miscellaneous CDOT Projects,7139 S RIDGELAND AVE,2021,18225.135,5720,census,"c(-87.582404986, 41.7649329720001)",5,36,05036
6,Alley Apron Menu,7203 S STLAWRENCE AVE,2021,12013.88,4992,census,"c(-87.6103729869999, 41.7637955260001)",6,30,06030
11,Alley Resurfacing Menu,724 W 48TH PL,2021,39242.93,9260,census,"c(-87.643960239, 41.806164057)",11,28,11028
49,Miscellaneous-CDOT,7300 N Oakley Ave,2006,18500,42295,census,"c(-87.6875405549999, 42.0141353560001)",49,21,49021
11,Alley Resurfacing Menu,745 W 48TH PL,2022,34091.105,9319,census,"c(-87.644180389, 41.8061489610001)",11,28,11028
49,POD Camera,7500 N Hoyne,2006,36000,42317,census,"c(-87.6829947969999, 42.017982176)",49,24,49024
