ward,type,location,year,est_cost,id,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
35,In-Road State Law Stop For Pedestrians Sign Menu,N ELSTON AVE & N DRAKE AVE,2021,350,31265,census,"c(-87.716533378, 41.9519024630001)",35,26,35026
39,w/41st Ward Forest Glen Viaduct Lettering w/ 45th Ward,N ELSTON AVE & N FOREST GLEN AVE,2019,5000,34553,census,"c(-87.754730347, 41.9770870580001)",45,41,45041
33,Miscellaneous CDOT Projects,N ELSTON AVE & N FRANCISCO AVE,2022,25000,29428,census,"c(-87.699979481, 41.9405342220001)",33,2,33002
35,Traffic Equipment,N ELSTON AVE & N KIMBALL AVE,2014,2350,30933,census,"c(-87.712790862, 41.9493337550001)",35,4,35004
45,In-Road State Law Stop,N ELSTON AVE & N LARAMIE AVE,2013,1100,39285,google,"c(-87.7575335, 41.9787962)",45,35,45035
45,In-Road State Law Stop,N ELSTON AVE & N LYNCH AVE,2012,800,39255,census,"c(-87.761210406, 41.9810667460001)",45,30,45030
39,High Definition Camera Menu,N ELSTON AVE & N MILWAUKEEAVE,2021,24709.3333333333,34621,google,"c(-87.6565636, 41.8969861)",27,35,27035
39,Pedestrian Refuge Island,N ELSTON AVE & N PULASKI RD,2015,34711,34401,google,"c(-87.7277448, 41.9596185)",39,28,39028
39,Pedestrian Refuge Island Menu,N ELSTON AVE & N PULASKI RD,2016,3240.89,34437,google,"c(-87.7277448, 41.9596185)",39,28,39028
35,In-Road State Law Stop,N ELSTON AVE & W GRACE ST,2012,550,30810,google,"c(-87.7140402, 41.9501832)",35,4,35004
35,In-Road State Law Stop,N ELSTON AVE & W GRACE ST,2014,350,30886,google,"c(-87.7140402, 41.9501832)",35,4,35004
35,Pedestrian Refuge Island,N ELSTON AVE & W GRACE ST,2015,36735.5,30941,google,"c(-87.7140402, 41.9501832)",35,4,35004
42,Traffic Signals,N FAIRBANKS CT & E GRAND AV,2006,5000,36395,census,"c(-87.6202329559999, 41.8918051480001)",42,41,42041
40,Sidewalk Menu,N FAIRFIELD AVE & W ARDMORE AVE,2012,1275,35038,census,"c(-87.698057975, 41.986766946)",40,10,40010
40,Sidewalk Menu,N FAIRFIELD AVE & W ARDMORE AVE,2013,2117,35073,census,"c(-87.698057975, 41.986766946)",40,10,40010
1,In-Road State Law Stop,N FAIRFIELD AVE & W ARMITAGE AVE,2013,950,499,census,"c(-87.6959716539999, 41.917504287)",1,13,01013
1,In-Road State Law Stop,N FAIRFIELD AVE & W ARMITAGE AVE,2014,950,541,census,"c(-87.6959716539999, 41.917504287)",1,13,01013
43,Street Light Upgrade Menu,N FERN CT & W EUGENIE ST,2017,500,37897,census,"c(-87.63935154, 41.912873377)",43,23,43023
42,Pavement Markings Menu,N FIELD BLVD & E RANDOLPH ST,2016,1400,36863,google,"c(-87.6173955, 41.8845342)",42,6,42006
42,In-Road State Law Stop for Pedestrians S,N FIELD I BLVD & E RANDOLPH ST,2011,950,36597,google,"c(-87.620571, 41.8844621)",42,44,42044
39,Speed Indicator Signs,N FOREST GLEN AVE & N CICERO AVE,2019,5500,34556,census,"c(-87.748306567, 41.9855931390001)",39,1,39001
26,In-Road State Law Stop for Pedestrians S,N FRANCISCO AVE & W AUGUSTA BLVD,2011,800,22612,census,"c(-87.699259922, 41.8992660590001)",26,21,26021
40,Street Traffic Circle Menu,N FRANCISCO AVE & W GREGORY ST,2017,1163.26,35296,google,"c(-87.7015517, 41.9821951)",40,30,40030
33,In-Road State Law Stop,N FRANCISCO AVE & W MONTROSE AVE,2012,800,28967,google,"c(-87.7009042, 41.9612363)",33,24,33024
33,In-Road State Law Stop,N FRANCISCO AVE & W MONTROSE AVE,2015,600,29086,google,"c(-87.7009042, 41.9612363)",33,24,33024
42,POD CAMERA - FRANKLIN & ONTARIO,N FRANKLIN ST & W ONTARIO ST,2018,27011,36955,census,"c(-87.635613045, 41.893171909)",42,59,42059
42,Pavement Markings Menu,N FRANKLIN ST & W ONTARIO ST,2019,3500,36987,census,"c(-87.635613045, 41.893171909)",42,59,42059
42,Left-Turn Arrow Menu,N FRANKLIN ST & W ONTARIO ST,2020,70000,37004,census,"c(-87.635613045, 41.893171909)",42,59,42059
42,Miscellaneous Other,N GARLAND CT & E RANDOLPH ST,2015,9440,36806,google,"c(-87.6253494, 41.8845039)",42,9,42009
48,Bollard Menu,N GLENWOOD AVE & N RIDGE AVE,2016,2931.44,41836,census,"c(-87.66504264, 41.9866744890001)",48,1,48001
46,Alley Apron Menu,N GLENWOOD AVE & W CARMEN AV (5100 N),2011,32488,39903,google,"c(-87.7554192, 41.9736421)",45,38,45038
48,Street Bump Outs Menu,N GLENWOOD AVE & W GREGORY ST,2018,15000,42019,census,"c(-87.664922044, 41.9826144030001)",48,19,48019
49,2 LPR/No Camera - 1 SW Jonquil and Sheridan; 1 NW Morse and Glenwood,N GLENWOOD AVE & W MORSE AVE,2022,27410,43000,google,"c(-87.6657481, 42.007907)",49,26,49026
49,Sidewalk Menu,N GLENWOOD AVE & W PRATT BLVD,2021,2208.96,42991,census,"c(-87.665496888, 42.0054714820001)",49,36,49036
47,Street Traffic Circle Menu,N GREENVIEW AVE & W BELLE PLAINE AVE,2022,24000,41438,census,"c(-87.6675872289999, 41.9561434450001)",47,24,47024
40,Alley Apron Menu,N GREENVIEW AVE & W DEVON AV (6400 N),2011,22661,34980,google,"c(-87.7883083, 41.9974814)",41,23,41023
32,Sidewalk Menu,N GREENVIEW AVE & W FLETCHER ST,2019,10500,28542,census,"c(-87.666208408, 41.93882175)",32,7,32007
47,In-Road State Law Stop,N GREENVIEW AVE & W WILSON AVE,2012,410,40712,census,"c(-87.667796263, 41.9652565290001)",47,34,47034
43,Pole Painting,N HALSTED ST & N LINCOLN PARK WEST,2008,500,37304,google,"c(-87.6487544, 41.9254561)",43,6,43006
43,Traffic Signals,N HALSTED ST & W ARMITAGE AV,2007,12000,37265,census,"c(-87.6485088439999, 41.918183648)",43,11,43011
43,1 Pod Camera: Hasted & Armitage,N HALSTED ST & W ARMITAGE AVE,2020,24776,38014,census,"c(-87.6485088439999, 41.918183648)",43,11,43011
44,In-Road State Law Stop,N HALSTED ST & W BUCKINGHAM PL,2012,800,38356,census,"c(-87.64935704, 41.9427130010001)",44,33,44033
44,In-Road State Law Stop,N HALSTED ST & W BUCKINGHAM PL,2013,950,38425,census,"c(-87.64935704, 41.9427130010001)",44,33,44033
44,In-Road State Law Stop,N HALSTED ST & W BUCKINGHAM PL,2014,550,38492,census,"c(-87.64935704, 41.9427130010001)",44,33,44033
43,Pole Painting,N HALSTED ST & W FULLERTON PW,2008,500,37303,google,"c(-87.6487544, 41.9254561)",43,6,43006
44,In-Road State Law Stop,N HALSTED ST & W GEORGE ST,2012,950,38355,census,"c(-87.649075648, 41.93454459)",44,45,44045
44,In-Road State Law Stop,N HALSTED ST & W GEORGE ST,2015,600,38579,census,"c(-87.649075648, 41.93454459)",44,45,44045
46,Traffic Signals,N HALSTED ST & W GRACE ST,2006,18000,39794,census,"c(-87.649618333, 41.951198983)",46,5,46005
27,1 LPR on Existing Camera: Halsted & Grand,N HALSTED ST & W GRAND AVE,2021,10971,23909,census,"c(-87.6476244689999, 41.8911820650001)",27,11,27011
44,Traffic Signals,N HALSTED ST & W WAVELAND AV,2008,50000,38199,census,"c(-87.649541955, 41.9491166820001)",46,24,46024
46,Traffic Signals,N HALSTED ST & W WAVELAND AV,2008,50000,39840,census,"c(-87.649541955, 41.9491166820001)",46,24,46024
43,Traffic Signals,N HALSTED ST & W WEBSTER AV,2007,12000,37266,census,"c(-87.64862944, 41.9218176270001)",43,7,43007
43,Bus Pad,N HALSTED ST & W WRIGHTWOOD AVE,2022,34185.31,38075,census,"c(-87.648886713, 41.9290855830001)",43,6,43006
44,Alley Resurfacing Menu,N HALSTED ST & WROSCOE ST,2022,9281.22,38903,google,"c(-87.6493749, 41.9436065)",44,42,44042
47,In-Road State Law Stop,N HAMILTON AVE & W MONTROSE AVE,2012,800,40703,census,"c(-87.682211579, 41.961413517)",47,28,47028
35,1 PTZ Camera - NEW Hamlin and Belden,N HAMLIN AVE & W BELDEN AVE,2022,24776,31315,census,"c(-87.721827569, 41.9227140610001)",35,35,35035
39,Floodlight Menu,N HAMLIN AVE & W GRANVILLE AVE,2017,600,34477,census,"c(-87.72392595, 41.9937213520001)",39,32,39032
28,Alley Apron Menu,N HAMLIN AVE & W LAKE ST (234 N),2011,11665,24287,google,"c(-87.6351135, 41.8859687)",42,9,42009
30,Alley Resurfacing Menu,N HAMLIN AVE & W SCHOOL ST,2017,17357.805,26368,census,"c(-87.722346135, 41.9409764100001)",30,8,30008
43,Alley Apron Menu,N HAMPDEN CT & W WRIGHTWOOD AV (2635 N),2011,11052,37449,google,"c(-87.6735552, 41.9287022)",32,20,32020
43,Street Light Upgrade Menu,N HAMPDEN CT & W WRIGHTWOOD AVE,2016,4200,37854,census,"c(-87.641466001, 41.9306613790001)",43,12,43012
42,In-Road State Law Stop,N HARBOR DR & E RANDOLPH ST,2012,550,36629,google,"c(-87.6157612, 41.8846703)",42,6,42006
42,In-Road State Law Stop,N HARBOR DR & E RANDOLPH ST,2013,550,36689,google,"c(-87.6157612, 41.8846703)",42,6,42006
42,1 PTZ Camera SE Harbor and Waterside,N HARBOR DR & E WATERSIDE DR,2022,24776,37061,census,"c(-87.6157668609999, 41.8869451040001)",42,51,42051
26,Alley Resurfacing Menu,N HARDING AVE & W CORTLANDST,2022,15576.2933333333,23142,google,"c(-87.7252679, 41.9153581)",30,29,30029
30,Alley Apron Menu,N HARDING AVE & W WAVELAND AV (3700 N),2011,15673,26032,google,"c(-87.8088097, 41.9468921)",36,37,36037
36,Traffic Signals,N HARLEM AV & W ADDISON ST,2005,95000,31438,census,"c(-87.807004962, 41.9452656290001)",36,38,36038
36,Traffic Signals,N HARLEM AV & W BELMONT AV,2005,95000,31440,census,"c(-87.8067436699999, 41.937997673)",36,8,36008
29,Diagonal Parking Menu,N HARLEM AVE & W ALTGELD ST,2021,41522.71,25469,google,"c(-87.8063311, 41.9262344)",36,1,36001
29,1 LPR/Existing Camera - N Harlem and W Belmont,N HARLEM AVE & W BELMONT AVE,2022,10971,25536,census,"c(-87.8067436699999, 41.937997673)",36,8,36008
29,PTZ Camera - N Harlem and W Belmont,N HARLEM AVE & W BELMONT AVE,2022,24776,25564,census,"c(-87.8067436699999, 41.937997673)",36,8,36008
41,1 PTZ Camera - NW Harlem and Higgins,N HARLEM AVE & W HIGGINS AVE,2022,24776,36173,census,"c(-87.806956724, 41.981119005)",41,3,41003
29,Miscellaneous CDOT Projects,N HARLEM AVE & W NORTH AVE,2018,55000,25329,google,"c(-87.8057383, 41.9087765)",NA,NA,NA
29,Alley Resurfacing Menu,N HARLEM AVE & W PALMER ST,2017,34944.42,25254,census,"c(-87.806120587, 41.919859941)",36,22,36022
46,MONTROSE&CLARENDON; SE BROADWAY &W WILSON AVE; N HAZEL ST &  W MONTROSE AVE; N BROADWAY &  W SUNNYSIDE AVE,N HAZEL ST & W MONTROSE AVE,2022,30970,40266,census,"c(-87.6523237169999, 41.961811486)",46,20,46020
46,Street Light Pole POD,N HAZEL ST & W SUNNYSIDE AVE,2015,3000,40056,census,"c(-87.652363916, 41.963640535)",46,20,46020
46,High Definition Camera,N HAZEL ST & W SUNNYSIDE AVE,2015,33763.75,40062,census,"c(-87.652363916, 41.963640535)",46,20,46020
46,Street Light Pole POD,N HAZEL ST & W WINDSOR AVE,2015,3000,40054,census,"c(-87.652379995, 41.9644887310001)",46,23,46023
46,High Definition Camera,N HAZEL ST & W WINDSOR AVE,2015,33763.75,40062,census,"c(-87.652379995, 41.9644887310001)",46,23,46023
1,Street Resurfacing Menu,N HERMITAGE AVE & N MILWAUKEE AVE,2016,7919.53,709,census,"c(-87.670598125, 41.9059873100001)",1,21,01021
40,Alley Resurfacing Menu (1-1),N HERMITAGE AVE & N RIDGE AVE,2017,24102.12,35250,census,"c(-87.673331648, 41.9913777570001)",40,35,40035
40,Alley Resurfacing Menu,N HERMITAGE AVE & W DEVON AVE,2017,4763.36,35253,google,"c(-87.6734848, 41.9980211)",40,37,40037
32,Street Speed Hump Menu,N HERMITAGE AVEDead End (2800 N) & W OAKDALE AV (2940 N),2011,1850,28190,google,"c(-87.685508, 41.9349201)",1,42,01042
41,Miscellaneous Other,N HIAWATHA AVE & N LEHIGH AVE,2014,4000,35934,census,"c(-87.768442183, 42.002492746)",41,14,41014
41,Miscellaneous Other,N HIAWATHA AVE & N LEHIGH AVE,2015,5000,35961,census,"c(-87.768442183, 42.002492746)",41,14,41014
41,In-Road State Law Stop For Pedestrians Signs Menu,N HIAWATHA AVE & N MOSELLE AVE,2019,350,36096,census,"c(-87.7784597419999, 42.007782918)",41,6,41006
1,In-Road State Law Stop,N HONORE ST & N MILWAUKEE AVE,2014,950,556,census,"c(-87.675261194, 41.908970067)",1,8,01008
32,In-Road State Law Stop for Pedestria,N HOYNE AV & W ARMITAGE AV,2010,800,28126,census,"c(-87.680093099, 41.917709302)",32,5,32005
1,In-Road State Law Stop,N HOYNE AVE & W CHICAGO AVE,2014,1500,549,census,"c(-87.679498155, 41.895869254)",32,17,32017
1,In-Road State Law Stop For Pedestrians Signs Menu,N HOYNE AVE & W CHICAGO AVE,2016,350,664,census,"c(-87.679498155, 41.895869254)",32,17,32017
47,Street Bump Outs Menu,N HOYNE AVE & W CORNELIA AVE,2022,13012.06,41400,census,"c(-87.6809252149999, 41.9450123770001)",47,47,47047
1,In-Road State Law Stop For Pedestrians Signs Menu,N HOYNE AVE & W DIVISION ST,2016,350,660,census,"c(-87.67969915, 41.90314927)",1,17,01017
32,Street Resurfacing Menu,N HOYNE AVE & W MELROSE ST,2020,14117.79,28571,google,"c(-87.6808058, 41.9404494)",32,42,32042
47,In-Road State Law Stop,N HOYNE AVE & W MONTROSE AVE,2014,550,40827,census,"c(-87.681399562, 41.9614255770001)",47,28,47028
27,1 LPR No POD Camera - 1498 N Hudson,N HUDSON AVE & W BLACKHAWK ST,2021,27410,23904,census,"c(-87.6397454889999, 41.909227339)",27,20,27020
27,Street Light Pole for High Definition Camera Menu,N HUDSON AVE & W BLACKHAWK ST,2022,3000,23974,census,"c(-87.6397454889999, 41.909227339)",27,20,27020
42,1 PTZ Camera - Hudson and Superior,N HUDSON AVE & W SUPERIOR ST,2022,24776,37054,census,"c(-87.640026882, 41.8955195230001)",42,15,42015
44,Curb/Gutter Menu,N HUDSON AVEDead End (3169 N) & W BELMONT AV (3200 N),2011,3939,38307,google,"c(-87.7087982, 41.9398134)",35,24,35024
1,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,N HUMBOLDT BLVD & W PALMER BLVD,2021,50000,965,google,"c(-87.7021807, 41.9207314)",35,31,35031
39,Alley Apron Menu,N INDIAN RD & N MEADE AVE,2016,11791.81,34429,google,"c(-87.780037, 41.9948757)",45,19,45019
39,Alley Apron Menu,N INDIAN RD & N MOODY AVE,2016,10690.84,34430,google,"c(-87.7813466, 41.9954085)",45,17,45017
42,Traffic Signal Pole,N JEFFERSON ST & W FULTON ST,2015,2350,36850,census,"c(-87.642804624, 41.8868124470001)",42,18,42018
42,Pavement Markings,N JEFFERSON ST & W LAKE ST,2015,1500,36813,census,"c(-87.642772465, 41.885706978)",42,18,42018
42,Traffic Equipment,N JEFFERSON ST & W RANDOLPH ST,2014,2308,36780,census,"c(-87.6427322659999, 41.8844366940001)",42,21,42021
39,In-Road State Law Stop for Pedestria,N JERSEY AV & W THORNDALE AV,2010,800,34218,census,"c(-87.710471387, 41.988499518)",39,17,39017
39,Street Light Upgrade Menu,N KARLOV AVE & W ARGYLE ST,2022,250,34669,google,"c(-87.7305901, 41.971853)",39,8,39008
36,Sidewalk Menu,N KEATING AVE & W BELDEN AVE,2020,9583.055,32119,census,"c(-87.7450343789999, 41.922428649)",31,42,31042
35,In-Road State Law Stop For Pedestrians Sign Menu,N KEDVALE AVE & W ARMITAGE AVE,2021,600,31266,census,"c(-87.7302210939999, 41.9171223980001)",30,5,30005
33,In-Road State Law Stop for Pedestria,N KEDZIE AV & W SUNNYSIDE AV,2008,320,28845,census,"c(-87.708300648, 41.963013432)",33,3,33003
33,Miscellaneous-CDOT,N KEDZIE AV & W SUNNYSIDE AV,2009,32,28880,census,"c(-87.708300648, 41.963013432)",33,3,33003
33,Arterial Street Bump Outs Menu,N KEDZIE AVE & W BARRY AVE,2021,2119.28,29348,census,"c(-87.707573049, 41.9375152870001)",35,1,35001
35,Traffic Equipment,N KEDZIE AVE & W BELMONT AVE,2015,500,30963,google,"c(-87.7074917, 41.9393455)",33,4,33004
39,High Definition Camera Menu,N KEDZIE AVE & W BRYN MAWR AVE,2021,24709.3333333333,34621,google,"c(-87.7088637, 41.9830581)",40,30,40030
39,In-Road State Law Stop for Pedestrians S,N KEDZIE AVE & W CATALPA AVE,2011,550,34254,google,"c(-87.7088041, 41.9812577)",40,30,40030
26,In-Road State Law Stop for Pedestrians S,N KEDZIE AVE & W EVERGREEN AVE,2011,219,22613,google,"c(-87.7068699, 41.9055548)",26,27,26027
26,Miscellaneous Other,N KEDZIE AVE & W EVERGREEN AVE,2012,191,22656,google,"c(-87.7068699, 41.9055548)",26,27,26027
35,Pedestrian Refuge Island,N KEDZIE AVE & W SCHUBERT AVE,2012,72011,30814,google,"c(-87.7074475, 41.9302958)",35,17,35017
33,Miscellaneous-CDOT,N KEDZIE AVE & W SUNNYSIDE AVE,2011,448,28939,google,"c(-87.7082914, 41.9630265)",33,3,33003
33,In-Road State Law Stop,N KEDZIE AVE & W SUNNYSIDE AVE,2013,950,28991,google,"c(-87.7082914, 41.9630265)",33,3,33003
33,In-Road State Law Stop,N KEDZIE AVE & W SUNNYSIDE AVE,2015,600,29089,google,"c(-87.7082914, 41.9630265)",33,3,33003
27,POD CAMERA - N. Kedzie & W. Walnut,N KEDZIE AVE & W WALNUT ST,2018,27011,23837,google,"c(-87.7062426, 41.8853888)",27,26,27026
33,In-Road State Law Stop,N KEDZIE AVE & W WAVELAND AVE,2013,950,28990,google,"c(-87.7078589, 41.9484517)",33,12,33012
35,Street Bump Outs Menu,N KEELER AVE & W DICKENS AVE,2017,51785.62,31029,google,"c(-87.7315049, 41.9189273)",30,5,30005
35,Street Bump Outs Menu,N KEELER AVE & W PALMER ST,2017,41587.92,31030,google,"c(-87.731565, 41.920761)",30,5,30005
32,In-Road State Law Stop for Pedestrians S,N KENMORE AVE & N CLYBOURN AVE,2011,800,28173,census,"c(-87.655921516, 41.9155104230001)",32,51,32051
43,In-Road State Law Stop,N KENMORE AVE & N CLYBOURN AVE,2013,1900,37637,census,"c(-87.655921516, 41.9155104230001)",32,51,32051
43,In-Road State Law Stop,N KENMORE AVE & N LINCOLN AVE,2014,600,37683,google,"c(-87.6551088, 41.9299893)",32,44,32044
43,In-Road State Law Stop For Pedestrians Signs Menu,N KENMORE AVE & N LINCOLN AVE,2016,600,37806,google,"c(-87.6551088, 41.9299893)",32,44,32044
48,Street Lighting,N KENMORE AVE & W ARDMORE AVE,2011,500,41646,census,"c(-87.656729513, 41.9873337510001)",48,18,48018
44,Curb & Gutter Menu,N KENMORE AVE & W GRACE ST,2021,6728.95,38866,census,"c(-87.655652184, 41.951106526)",44,31,44031
45,Miscellaneous CDOT,N KENNETH AVE & N MILWAUKEE AVE,2015,4215,39412,google,"c(-87.7398304, 41.9488454)",38,9,38009
45,Sidewalk Menu,N KENNETH AVE & N MILWAUKEE AVE,2017,2000.06,39512,google,"c(-87.7398304, 41.9488454)",38,9,38009
39,Street Resurface Menu,N KENTON AVE & W BRYN MAWR AV (5600 N)Dead End (5126 N),2011,41748,34276,google,"c(-87.7685343, 41.9831103)",45,9,45009
31,Street Resurfacing Menu (1-5),N KENTON AVE & W DIVERSEY AVE,2020,11269.53,27675,google,"c(-87.7416569, 41.9315972)",31,7,31007
37,Street Bump Outs Menu,N KILDARE AVE & W AUGUSTA BLVD,2021,29256.6,33018,google,"c(-87.7335633, 41.8988898)",37,4,37004
35,Alley Apron Menu,N KILDARE AVE & W CORTLAND ST,2017,12861.23,31004,census,"c(-87.733822913, 41.9152531500001)",30,22,30022
28,Street Lighting,N KILPATRICK AV & W ADAMS BV,2010,5040,24273,census,"c(-87.742739023, 41.8780732120001)",28,40,28040
37,Floodlight Menu,N KILPATRICK AVE & W AUGUSTA BLVD,2012,500,32661,census,"c(-87.7436193789999, 41.8987394530001)",37,21,37021
37,Floodlight Menu,N KILPATRICK AVE & W IOWA ST,2012,500,32660,google,"c(-87.743563, 41.8969054)",37,21,37021
37,Street Light Arterial,N KILPATRICK AVE & W IOWA ST,2012,12000,32662,google,"c(-87.743563, 41.8969054)",37,21,37021
37,Traffic Signal,N KILPATRICK AVE & W IOWA ST,2012,12000,32676,google,"c(-87.743563, 41.8969054)",37,21,37021
37,Floodlight Menu,N KILPATRICK AVE & W RICE ST,2012,500,32658,census,"c(-87.743547021, 41.8960139700001)",37,21,37021
37,Floodlight Menu,N KILPATRICK AVE & W WALTON ST,2012,500,32659,census,"c(-87.743591239, 41.8978148790001)",37,21,37021
39,In-Road State Law Stop for Pedestria,N KIMBALL AV & W CATALPA AV,2010,800,34216,census,"c(-87.713679258, 41.9811953830001)",40,38,40038
35,Miscellaneous Other,N KIMBALL AVE & N AVONDALE AVE,2013,12000,30854,census,"c(-87.712597908, 41.9422507140001)",35,24,35024
35,Pedestrian Countdown,N KIMBALL AVE & N AVONDALE AVE,2013,17863,30874,census,"c(-87.712597908, 41.9422507140001)",35,24,35024
35,Miscellaneous Other,N KIMBALL AVE & N KENNEDY KIMBALL AV XR IB,2013,12000,30851,google,"c(-87.7130132, 41.9570768)",33,16,33016
35,1 LPR W/O Existing Camera: N Kimball and W Addison,N KIMBALL AVE & W ADDISON ST,2021,27410,31229,census,"c(-87.712710465, 41.946568073)",35,4,35004
35,1 POD Camera NE Corner of W Addison and N Kimball,N KIMBALL AVE & W ADDISON ST,2021,24776,31231,census,"c(-87.712710465, 41.946568073)",35,4,35004
1,Pavement Markings Menu,N KIMBALL AVE & W BLOOMINGDALE AVE,2016,150,680,census,"c(-87.7117979499999, 41.9136130360001)",26,47,26047
26,Pavement Markings Menu,N KIMBALL AVE & W BLOOMINGDALE AVE,2016,150,22811,census,"c(-87.7117979499999, 41.9136130360001)",26,47,26047
39,In-Road State Law Stop for Pedestrians S,N KIMBALL AVE & W CATALPA AVE,2011,950,34252,census,"c(-87.713679258, 41.9811953830001)",40,38,40038
39,In-Road State Law Stop,N KIMBALL AVE & W CATALPA AVE,2013,950,34314,census,"c(-87.713679258, 41.9811953830001)",40,38,40038
35,In-Road State Law Stop For Pedestrians Signs Menu,N KIMBALL AVE & W DRUMMOND PL,2019,350,31140,census,"c(-87.7122240579999, 41.929294617)",35,28,35028
35,In-Road State Law Stop For Pedestrians Sign Menu,N KIMBALL AVE & W DRUMMOND PL,2021,700,31267,census,"c(-87.7122240579999, 41.929294617)",35,28,35028
35,Pedestrian Countdown,N KIMBALL AVE & W HENDERSON ST,2013,17863,30873,census,"c(-87.712597908, 41.9422507140001)",35,24,35024
33,Bus Pad,N KIMBALL AVE & W LAWRENCE AVE,2017,17717.89,29189,census,"c(-87.713361686, 41.968404101)",39,22,39022
35,In-Road State Law Stop For Pedestrians Signs Menu,N KIMBALL AVE & W PARKER AVE,2019,600,31138,google,"c(-87.712269, 41.9310758)",35,28,35028
35,In-Road State Law Stop For Pedestrians Signs Menu,N KIMBALL AVE & W PARKER AVE,2020,350,31208,google,"c(-87.712269, 41.9310758)",35,28,35028
35,In-Road State Law Stop For Pedestrians Sign Menu,N KIMBALL AVE & W PARKER AVE,2021,1800,31268,google,"c(-87.712269, 41.9310758)",35,28,35028
35,In-Road State Law Stop,N KIMBALL AVE & W WELLINGTON AVE,2015,600,30940,google,"c(-87.7123766, 41.9356447)",35,11,35011
35,Pedestrian Refuge Island Menu,N KIMBALL AVE & W WELLINGTON AVE,2017,33089.87,31027,google,"c(-87.7123766, 41.9356447)",35,11,35011
12,Street Lighting,N KINGSBURY ST & N NORTH BRANCH ST,2005,3850,9420,google,"c(-87.6492558, 41.9050577)",32,46,32046
12,Street Lighting,N KINGSBURY ST & N NORTH BRANCH ST,2005,5000,9421,google,"c(-87.6492558, 41.9050577)",32,46,32046
42,1 POD Camera NE Corner of Madison at 90/94,N KINGSBURY ST & W CHICAGO AVE,2021,24776,37022,census,"c(-87.641538359, 41.8964963560001)",27,21,27021
42,1 LPR W/ Existing Camera: SW Corner Erie and Kingsbury,N KINGSBURY ST & W ERIE ST,2021,10971,37016,census,"c(-87.641461981, 41.8938995090001)",42,15,42015
42,1 POD Camera SW Corner of Erie and Kingsbury,N KINGSBURY ST & W ERIE ST,2021,24776,37024,census,"c(-87.641461981, 41.8938995090001)",42,15,42015
42,1 POD Camera SW Corner of Kingsbury and Erie,N KINGSBURY ST & W ERIE ST,2021,24776,37025,census,"c(-87.641461981, 41.8938995090001)",42,15,42015
27,In-Road State Law Stop For Pedestrians Signs Menu,N KINGSBURY ST & W EVERGREEN AVE,2016,600,23743,census,"c(-87.65007258, 41.906039569)",32,46,32046
42,1 LPR W/ Existing Camera: SE Corner Grand and Kingsbury,N KINGSBURY ST & W GRAND AVE,2021,10971,37012,census,"c(-87.6398741259999, 41.891499636)",42,59,42059
42,1 LPR w/o Camera NW Corner Grand and Kingsbury,N KINGSBURY ST & W GRAND AVE,2021,27410,37018,census,"c(-87.6398741259999, 41.891499636)",42,59,42059
42,Bollard Menu,N KINGSBURY ST & W OHIO ST (600 N),2011,2520,36591,google,"c(-87.6447704, 41.8923416)",27,11,27011
42,1 LPR/No Camera - NE Ontario and Kingsbury,N KINGSBURY ST & W ONTARIO ST,2022,38381,37051,google,"c(-87.6411587, 41.8930917)",42,67,42067
31,Street Bump Outs Menu,N KOSTNER AVE & W BARRY AVE,2019,10996.97,27638,census,"c(-87.736974505, 41.937149477)",31,33,31033
31,Left-Turn Arrow Menu,N KOSTNER AVE & W DIVERSEY AVE,2016,98100,27498,census,"c(-87.736813709, 41.931662331)",31,30,31030
39,Bus Pad,N KOSTNER AVE & W FOSTER AVE,2013,12821,34310,google,"c(-87.7381101, 41.9754424)",39,11,39011
31,Street Bump Outs Menu,N KOSTNER AVE & W GEORGE ST,2019,10996.97,27638,google,"c(-87.7368505, 41.9334989)",31,31,31031
28,Curb & Gutter Menu,N KOSTNER AVE & W MAYPOLE AVE,2020,33998.55,24749,google,"c(-87.7355903, 41.8845583)",28,23,28023
31,Street Bump Outs Menu,N KOSTNER AVE & W WELLINGTON AVE,2019,10996.97,27638,census,"c(-87.7369142059999, 41.9353284680001)",31,31,31031
28,Floodlight Menu,N LA CROSSE AVE & W MAYPOLE AVE,2012,1000,24346,census,"c(-87.7466463539999, 41.8844366940001)",28,42,28042
2,1 POD Camera 360 CAMERA ON CORNER OF LASALLE AND CLARK TO VIEW BP STATION,N LA SALLE DR & N CLARK ST,2021,24776,2415,census,"c(-87.633213172, 41.913761772)",43,24,43024
2,Pedestrian Refuge Island Menu,N LA SALLE DR & W BURTON PL,2019,37800.67,2367,census,"c(-87.633164934, 41.909167041)",43,50,43050
42,In-Road State Law Stop,N LA SALLE DR & W CARROLL AVE,2013,550,36684,google,"c(-87.6327369, 41.9000687)",42,17,42017
42,In-Road State Law Stop For Pedestrians Signs Menu,N LA SALLE DR & W CARROLL AVE,2017,350,36897,google,"c(-87.6327369, 41.9000687)",42,17,42017
2,1 LPR/Existing Camera - SW LaSalle St at Chicago,N LA SALLE DR & W CHICAGO AVE,2022,10971,2452,census,"c(-87.6327830449999, 41.896616953)",42,49,42049
42,Pavement Markings Menu,N LA SALLE DR & W ELM ST,2011,3600,36603,census,"c(-87.632823243, 41.903117111)",42,26,42026
