ward,type,location,year,est_cost,id,point_location,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
44,Sidewalk Menu,2827 N BURLING ST,2019,9523.74,35902,2827 N BURLING ST,census,"c(-87.647690675, 41.933701612)",44,45,44045
33,Sidewalk Menu,2827 N SACRAMENTO AVE,2022,6136,27153,2827 N SACRAMENTO AVE,google,"c(-87.7022315, 41.9329449)",35,18,35018
30,Sidewalk Menu,2828 N MELVINA AVE,2019,3297.27,24678,2828 N MELVINA AVE,census,"c(-87.7808623619999, 41.9319299160001)",29,32,29032
11,Sidewalk Menu,2828 S THROOP ST,2015,3041,8490,2828 S THROOP ST,census,"c(-87.653491515, 41.8427503830001)",11,4,11004
11,Alley Resurfacing Menu (1-1),2828 S WALLACE ST,2019,12672.57,40743,2828 S WALLACE ST,census,"c(-87.6415264249999, 41.8426982720001)",11,33,11033
1,Concrete Alley Menu,2828 W BLOOMINGDALE AVE,2017,120000,705,2828 W BLOOMINGDALE AVE,census,"c(-87.698167375, 41.9139919340001)",35,20,35020
30,Sidewalk Menu,2829 N MOBILE AVE,2015,2338,24415,2829 N MOBILE AVE,census,"c(-87.7832796169999, 41.9319499790001)",29,32,29032
11,Street Speed Hump Menu,2830 S LOCK ST,2021,1175,40806,2830 S LOCK ST,census,"c(-87.6624855109999, 41.841579761)",11,1,11001
28,Street Resurfacing Menu,2830 W FILLMORE ST,2019,3587.78,23014,2830 W FILLMORE ST,census,"c(-87.697584347, 41.8683246300001)",28,35,28035
2,Miscellaneous Other,2830 W MADISON ST,2013,1185,1958,2830 W MADISON ST,census,"c(-87.6980458209999, 41.8810645520001)",2,48,02048
40,Alley Resurfacing Menu,2831 W LAWRENCE AVE,2017,14988.64,32552,2831 W LAWRENCE AVE,census,"c(-87.699879052, 41.968521013)",47,15,47015
18,Speed Indicator Signs,2832 W 83RD ST,2021,12500,41307,2832 W 83RD ST,census,"c(-87.6937776139999, 41.742642549)",18,35,18035
2,Street Lighting,2832 W WARNER AVE,2011,350,1806,2832 W WARNER AVE,google,"c(-87.6909749, 41.9567421)",47,17,47017
31,Sidewalk Menu,2833 N KILDARE AVE,2019,4838.85,25601,2833 N KILDARE AVE,census,"c(-87.731724737, 41.840077298)",22,20,22020
50,Street Light Upgrade Menu,2833 W TOUHY AVE,2022,500,40197,2833 W TOUHY AVE,census,"c(-87.700720948, 42.01203996)",50,41,50041
10,Sidewalk Menu,2834 E 130TH ST,2016,14908.45,7759,2834 E 130TH ST,census,"c(-87.554253691, 41.659191809)",10,9,10009
30,Sidewalk Menu,2834 N MEADE AVE,2020,4309.58,24714,2834 N MEADE AVE,census,"c(-87.7784283569999, 41.9319061200001)",29,30,29030
36,Sidewalk Menu,2834 N NEENAH AVE,2016,1980.39,29456,2834 N NEENAH AVE,census,"c(-87.789395, 41.93192357)",36,10,36010
44,Curb & Gutter Menu,2834 N SHEFFIELD AVE,2017,6626.17,35843,2834 N SHEFFIELD AVE,census,"c(-87.653898317, 41.9336261980001)",44,40,44040
35,Bollard Menu,2835 W FULLERTON AV,2008,4284,28266,2835 W FULLERTON AV,google,"c(-87.6988052, 41.9245485)",35,10,35010
1,Sidewalk Menu,2835 W FULLERTON AVE,2016,7858.34,668,2835 W FULLERTON AVE,google,"c(-87.6988052, 41.9245485)",35,10,35010
12,Street Lighting,2836 W 24TH BLVD,2011,500,9165,2836 W 24TH BLVD,census,"c(-87.696689973, 41.8478755630001)",12,7,12007
14,Sidewalk Menu,2836 W 55TH ST,2022,15907.23,12222,2836 W 55TH ST,census,"c(-87.6952061659999, 41.7936740060001)",14,21,14021
14,Street Lighting,2836 W. 55TH ST,2008,350,11310,2836 W. 55TH ST,census,"c(-87.6952061659999, 41.7936740060001)",14,21,14021
36,Curb & Gutter Menu,2838 N NEENAH AVE,2017,2683.08,29499,2838 N NEENAH AVE,census,"c(-87.789396653, 41.931970703)",36,10,36010
36,Curb & Gutter Menu,2839 N NEENAH AVE,2022,5313.78,29734,2839 N NEENAH AVE,census,"c(-87.78938192, 41.931970989)",36,10,36010
36,Sidewalk Menu,2839 N NEW ENGLAND AVE,2021,4581.94,42680,2839 N NEW ENGLAND AVE,census,"c(-87.7979373209999, 41.9318748810001)",36,14,36014
1,Curb & Gutter Menu,2839 W FULLERTON AVE,2021,13921.58,887,2839 W FULLERTON AVE,google,"c(-87.698934, 41.92455)",35,10,35010
31,Alley Speed Hump Menu,2840 N CICERO AVE,2021,700,42322,2840 N CICERO AVE,census,"c(-87.743943084, 41.8410579540001)",NA,NA,NA
11,Sidewalk Menu,2840 S HILLOCK AVE,2017,2071.815,40735,2840 S HILLOCK AVE,census,"c(-87.660618094, 41.8432551170001)",11,1,11001
18,Sidewalk Menu,2840 W 83RD ST,2017,747.16,15044,2840 W 83RD ST,census,"c(-87.555959238, 41.7446057380001)",7,42,07042
14,Miscellaneous-CDOT,2840 W. 39 th Pl.,2007,1821,11206,2840 W. 39 th Pl.,census,"c(-87.695892753, 41.821883337)",14,12,14012
30,Alley Resurfacing Menu,2841 N MENARD AVE,2022,27468.73,42228,2841 N MENARD AVE,census,"c(-87.7711328029999, 41.9322541720001)",30,12,30012
33,Bollard Menu,2841 N WASHTENAW AVE,2022,623.04,27143,2841 N WASHTENAW AVE,census,"c(-87.69521188, 41.9333973270001)",1,41,01041
44,Alley Speed Hump Menu,2842 N HALSTED ST,2017,1400,35840,2842 N HALSTED ST,google,"c(-87.6493435, 41.933967)",44,29,44029
36,Sidewalk Menu,2843 N NEENAH AVE,2021,5826.84,29703,2843 N NEENAH AVE,census,"c(-87.7893835739999, 41.932018123)",36,10,36010
36,Sidewalk Menu,2844 N NARRAGANSETT AVE,2022,3636.29,29766,2844 N NARRAGANSETT AVE,census,"c(-87.7857224319999, 41.9318390710001)",36,10,36010
31,Street Light Upgrade Menu,2845 N LONG AVE,2022,500,42385,2845 N LONG AVE,census,"c(-87.76136583, 41.9324889820001)",31,29,31029
12,Alley Apron Menu,2846 W 42ND ST,2021,18259.79,9650,2846 W 42ND ST,census,"c(-87.696012093, 41.817332849)",14,8,14008
50,Street Speed Hump Menu,2847 W ESTES AVE,2021,2350,40185,2847 W ESTES AVE,census,"c(-87.7008669859999, 42.0102368040001)",50,41,50041
44,Alley Resurfacing Menu,2848 N SHEFFIELD AVE,2021,14166.11,43230,2848 N SHEFFIELD AVE,census,"c(-87.653908584, 41.933923039)",44,40,44040
44,Street Light Upgrade Menu,2849 N CLARK ST,2019,500,35908,2849 N CLARK ST,census,"c(-87.6459730669999, 41.9341612760001)",44,45,44045
11,Sidewalk Menu,2849 S FARRELL ST,2020,10172.15,8701,2849 S FARRELL ST,census,"c(-87.653931197, 41.8417956160001)",11,4,11004
27,Sidewalk Menu,2849 W WARREN BLVD,2017,7765.03,22181,2849 W WARREN BLVD,census,"c(-87.6975162209999, 41.8819772430001)",2,48,02048
28,Miscellaneous CDOT Projects,285 N PULASKI RD,2019,3361.68176470588,41969,285 N PULASKI RD,census,"c(-87.725789391, 41.8852351740001)",28,37,28037
36,Sidewalk Menu,2850 N NEW ENGLAND AVE,2021,4581.94,42681,2850 N NEW ENGLAND AVE,census,"c(-87.7979565059999, 41.932017697)",36,14,36014
36,Curb & Gutter Menu,2850 N RUTHERFORD AVE,2019,6696.35,29603,2850 N RUTHERFORD AVE,census,"c(-87.7942830599999, 41.931958104)",36,19,36019
11,Sidewalk Menu,2851 S QUINN ST,2022,3163.58,8777,2851 S QUINN ST,census,"c(-87.6512547309999, 41.841713686)",11,4,11004
33,Sidewalk Menu,2852 N ALBANY AVE,2021,2059.44,27094,2852 N ALBANY AVE,google,"c(-87.7052819, 41.9336331)",35,9,35009
30,Sidewalk Menu,2852 N MOBILE AVE,2017,4396,24544,2852 N MOBILE AVE,census,"c(-87.7833043859999, 41.9322275270001)",29,32,29032
11,Curb & Gutter Menu,2852 S WALLACE ST,2020,50000,8692,2852 S WALLACE ST,google,"c(-87.6417805, 41.8419993)",11,33,11033
11,Curb & Gutter Menu,2852 S WALLACE ST,2021,35957.86,8718,2852 S WALLACE ST,google,"c(-87.6417805, 41.8419993)",11,33,11033
11,Street Resurfacing Menu,2852 S WALLACE ST,2021,16400.09,8750,2852 S WALLACE ST,google,"c(-87.6417805, 41.8419993)",11,33,11033
11,Sidewalk Menu,2853 S FARRELL ST,2020,9573.07,8702,2853 S FARRELL ST,census,"c(-87.6538725029999, 41.8417278250001)",11,4,11004
10,Sidewalk Menu,2854 E 87TH ST,2017,5750.99,7798,2854 E 87TH ST,google,"c(-87.5541478, 41.7375426)",10,22,10022
44,Street Light Upgrade Menu,2854 N BROADWAY,2019,500,35907,2854 N BROADWAY,google,"c(-87.644481, 41.9344926)",44,45,44045
36,Curb & Gutter Menu,2854 N NORMANDY AVE,2018,7745.96,29547,2854 N NORMANDY AVE,google,"c(-87.7933367, 41.9325184)",36,19,36019
44,Alley Apron Menu,2855 N MILDRED AVE,2022,14661.5,35967,2855 N MILDRED AVE,census,"c(-87.651473242, 41.9340785680001)",44,29,44029
11,Street Light Upgrade Menu,2855 S HILLOCKAVE,2022,4833.33333333333,40833,2855 S HILLOCKAVE,google,"c(-87.6610174, 41.842811)",11,1,11001
30,Alley Resurfacing Menu,2856 N AVERS AVE,2022,24432.58,42230,2856 N AVERS AVE,google,"c(-87.7236098, 41.9335437)",30,18,30018
36,Sidewalk Menu,2858 N RUTHERFORD AVE,2022,10626.91,29767,2858 N RUTHERFORD AVE,census,"c(-87.794286542, 41.932067413)",36,19,36019
14,Sidewalk Menu,2858 W 55TH ST,2022,27641.55,12223,2858 W 55TH ST,google,"c(-87.696074, 41.793859)",14,21,14021
33,Alley Speed Hump Menu,2858 W ADDISON ST,2022,700,42515,2858 W ADDISON ST,census,"c(-87.699916017, 41.9466798030001)",33,22,33022
22,Sidewalk Menu,2859 S LAWNDALE AVE,2018,37106,17827,2859 S LAWNDALE AVE,census,"c(-87.717105982, 41.8400807730001)",22,26,22026
22,Sidewalk Menu,2859 S ST LOUIS AVE,2020,14464.73,17898,2859 S ST LOUIS AVE,google,"c(-87.7120084, 41.839055)",22,11,22011
12,POD Camera,2860 W 21 st St,2007,18000,40835,2860 W 21 st St,google,"c(-87.6978812, 41.8539033)",12,7,12007
12,POD Camera,2860 W 21 st Street,2006,24000,8916,2860 W 21 st Street,google,"c(-87.6978812, 41.8539033)",12,7,12007
44,2016 Menu (Ward 44) Lakeview Health Cente,2861 N CLARK ST,2016,50000,35791,2861 N CLARK ST,census,"c(-87.646151371, 41.9343815340001)",44,45,44045
12,Miscellaneous-CDOT,2867 W 21 st Street,2008,40314,9039,2867 W 21 st Street,google,"c(-87.6981507, 41.8535984)",12,7,12007
12,Miscellaneous-CDOT,2867 W 21 st Street,2009,8880,9074,2867 W 21 st Street,google,"c(-87.6981507, 41.8535984)",12,7,12007
11,Street Light Upgrade Menu,2879 S HILLOCK AVE,2022,4833.33333333333,40834,2879 S HILLOCK AVE,census,"c(-87.6614675389999, 41.8428299540001)",11,1,11001
30,Sidewalk Menu,2900 N MELVINA AVE,2022,5051.34,24784,2900 N MELVINA AVE,census,"c(-87.780899945, 41.933046645)",29,9,29009
30,Street Resurfacing Menu,2900 N MENARD AVE,2020,28981.065,42205,2900 N MENARD AVE,census,"c(-87.771175838, 41.933179308)",30,12,30012
30,Street Speed Hump Menu,2900 N MOBILE AVE,2019,2350,42168,2900 N MOBILE AVE,census,"c(-87.78333202, 41.93301416)",29,9,29009
36,Concrete Alley Menu,2900 NNEWCASTLE AVE,2022,4561.14,42705,2900 NNEWCASTLE AVE,google,"c(-87.7970607, 41.9328242)",36,14,36014
4,Street Resurfacing Menu,2900 S CALUMET AVE,2021,27066.285,40417,2900 S CALUMET AVE,google,"c(-87.6187688, 41.8420439)",2,14,02014
11,Sidewalk Menu,2900 S WELLS ST,2017,18009.27,8574,2900 S WELLS ST,census,"c(-87.632961672, 41.8410427470001)",11,14,11014
12,Miscellaneous CDOT Projects,2900 W 38TH ST,2022,150,9721,2900 W 38TH ST,census,"c(-87.6978593219999, 41.8245527970001)",12,12,12012
14,Bollard Menu,2900 W 43 ST,2008,2142,11244,2900 W 43 ST,census,"c(-87.696924525, 41.8155123760001)",14,8,14008
12,3 POD CAMERAS,2900 W CERMAK RD,2019,24776,40873,2900 W CERMAK RD,census,"c(-87.699091569, 41.851860989)",24,44,24044
33,Miscellaneous Other,2900 W IRVING PARK RD,2014,8510,26842,2900 W IRVING PARK RD,census,"c(-87.7007324909999, 41.9539701480001)",33,25,33025
2,Miscellaneous-CDOT,2900 W. Wilcox Parkway,2008,409,1260,2900 W. Wilcox Parkway,census,"c(-87.6988528159999, 41.8792304850001)",2,47,02047
31,Alley Resurfacing Menu,2901 N KILPATRICK AVE,2021,16176.27,42321,2901 N KILPATRICK AVE,census,"c(-87.744211768, 41.9335370320001)",31,6,31006
3,Sidewalk Menu - Change Order,2901 S State,2009,159,2539,2901 S State,census,"c(-87.62664876, 41.8417623130001)",3,46,03046
7,Street Lighting,2902 E 78TH ST,2011,350,5082,2902 E 78TH ST,census,"c(-87.5540353809999, 41.7538130100001)",7,29,07029
11,Sidewalk Menu,2902 S PARNELL AVE,2022,20050.39,8778,2902 S PARNELL AVE,census,"c(-87.64027957, 41.841591975)",11,43,11043
40,3 POD Cameras - 2902 W. Foster; 5158 N. California; 2931 W. Peterson,2902 W FOSTER AVE,2020,24776,42904,2902 W FOSTER AVE,census,"c(-87.7015758429999, 41.9758030560001)",40,17,40017
31,Sidewalk Menu,2903 N KILPATRICK AVE,2018,4764.32,25573,2903 N KILPATRICK AVE,census,"c(-87.744212821, 41.933568973)",31,6,31006
30,Alley Speed Hump Menu,2905 N MULLIGAN AVE,2019,350,42161,2905 N MULLIGAN AVE,census,"c(-87.784532272, 41.933025688)",29,9,29009
7,Miscellaneous Other Projects,2906 E 78TH PL,2018,120,40536,2906 E 78TH PL,census,"c(-87.55272782, 41.7525944700001)",7,14,07014
30,Sidewalk Menu,2906 N MERRIMAC AVE,2018,7766.57,24606,2906 N MERRIMAC AVE,census,"c(-87.782117052, 41.9331246310001)",29,9,29009
30,Sidewalk Menu,2906 N MONITOR AVE,2020,3891.86,24720,2906 N MONITOR AVE,census,"c(-87.7723969479999, 41.9332607900001)",30,12,30012
14,Miscellaneous-CDOT,2906 W. 40 th Pl.,2007,974,11210,2906 W. 40 th Pl.,census,"c(-87.697386868, 41.820060202)",14,7,14007
7,Street Lighting,2908 E 78TH ST,2011,350,5081,2908 E 78TH ST,census,"c(-87.5538475019999, 41.7539256210001)",7,29,07029
44,Alley Apron Menu,2909 N MILDRED AVE,2022,13062.13,35968,2909 N MILDRED AVE,census,"c(-87.6514994789999, 41.9347897430001)",44,29,44029
33,Street Light Upgrade Menu,2909 W MONTROSE AVE,2021,500,27103,2909 W MONTROSE AVE,census,"c(-87.701723368, 41.9612271400001)",33,23,33023
12,Sidewalk Menu,2910 W 36TH ST,2018,23319.9,9487,2910 W 36TH ST,census,"c(-87.698056801, 41.828210961)",12,2,12002
31,Street Light Upgrade Menu,2911 N LONG AVE,2022,500,42386,2911 N LONG AVE,census,"c(-87.761402048, 41.933512711)",31,43,31043
11,Alley Resurfacing Menu,2911 S CANAL ST,2020,17534.12,40773,2911 S CANAL ST,census,"c(-87.637826779, 41.8415001760001)",11,13,11013
40,Curb & Gutter Menu,2911 W CATALPA AVE,2017,5817.54,32562,2911 W CATALPA AVE,census,"c(-87.702026009, 41.981274967)",40,30,40030
33,Alley Apron Menu,2911 W FLETCHER ST,2017,11391.8,26973,2911 W FLETCHER ST,census,"c(-87.7007254119999, 41.9384625180001)",33,13,33013
33,Street Light Upgrade Menu,2911 W MONTROSE AVE,2021,500,27104,2911 W MONTROSE AVE,census,"c(-87.70177505, 41.9612271400001)",33,23,33023
30,Sidewalk Menu,2912 N MERRIMAC AVE,2018,2102.305,42134,2912 N MERRIMAC AVE,census,"c(-87.7821201529999, 41.933218697)",29,9,29009
33,Alley Apron Menu,2913 N WHIPPLE ST,2017,14601.25,26976,2913 N WHIPPLE ST,google,"c(-87.7035294, 41.9343596)",35,18,35018
11,Sidewalk Menu,2913 S CANAL ST,2021,1699.2,8727,2913 S CANAL ST,census,"c(-87.63782575, 41.8414689630001)",11,13,11013
30,Sidewalk Menu,2914 N MERRIMAC AVE,2018,2102.305,42135,2914 N MERRIMAC AVE,census,"c(-87.782121187, 41.9332500520001)",29,9,29009
30,Street Light Upgrade,2914 N RIDGEWAY AVE,2014,400,24382,2914 N RIDGEWAY AVE,google,"c(-87.721143, 41.9342106)",30,18,30018
33,Alley Apron Menu,2915 W BERTEAU AVE,2017,18333.34,26966,2915 W BERTEAU AVE,google,"c(-87.7012249, 41.9574844)",33,25,33025
33,Sidewalk Menu,2915 W MONTROSE AVE,2019,944.87,27059,2915 W MONTROSE AVE,google,"c(-87.7017722, 41.9611466)",33,23,33023
33,Miscellaneous CDOT Projects,2916 W NELSON ST,2016,4021.9,26944,2916 W NELSON ST,census,"c(-87.70090153, 41.936769359)",33,13,33013
30,Sidewalk Menu,2917 N MONITOR AVE,2019,4801.4,24681,2917 N MONITOR AVE,census,"c(-87.7723874869999, 41.93341751)",30,12,30012
30,Sidewalk Menu,2917 N MULLIGAN AVE,2020,3596.11,24717,2917 N MULLIGAN AVE,census,"c(-87.784535341, 41.9331187990001)",29,9,29009
36,Sidewalk Menu,2917 N NASHVILLE AVE,2019,3628.74,29619,2917 N NASHVILLE AVE,census,"c(-87.790576592, 41.9332507010001)",36,10,36010
36,Sidewalk Menu,2917 N NORMANDY AVE,2020,2860.06,29654,2917 N NORMANDY AVE,google,"c(-87.7927988, 41.9333215)",36,19,36019
30,Sidewalk Menu,2918 N MANGO AVE,2022,3963.38,24786,2918 N MANGO AVE,census,"c(-87.7699713649999, 41.933477576)",30,12,30012
40,Sidewalk Menu,2918 W CATALPA AVE,2018,7665.59,32606,2918 W CATALPA AVE,census,"c(-87.702234655, 41.9812845220001)",40,30,40030
30,Sidewalk Menu,2919 N MERRIMAC AVE,2021,3595.11,24737,2919 N MERRIMAC AVE,census,"c(-87.78210852, 41.9333130310001)",29,9,29009
40,Street Light Upgrade Menu,2919 W ARGYLE ST,2016,450,42865,2919 W ARGYLE ST,census,"c(-87.7014816619999, 41.9721526590001)",40,17,40017
50,Alley Apron Menu,2919 W ROSEMONT AVE,2022,5971.49,43603,2919 W ROSEMONT AVE,census,"c(-87.702962886, 41.9957178550001)",50,17,50017
50,Street Light Upgrade Menu,2919 W TOUHY AVE,2021,500,43598,2919 W TOUHY AVE,census,"c(-87.702639381, 42.0120004500001)",50,41,50041
30,Alley Resurfacing Menu,2920 N HARDING AVE,2019,11918.745,42155,2920 N HARDING AVE,census,"c(-87.7258453269999, 41.9340962250001)",30,18,30018
30,Alley Resurfacing Menu,2920 N HARDING AVE,2020,4390.475,42177,2920 N HARDING AVE,census,"c(-87.7258453269999, 41.9340962250001)",30,18,30018
11,Miscellaneous-CDOT,2920 S Archer,2009,38259,8231,2920 S Archer,census,"c(-87.658532167, 41.8413757490001)",11,1,11001
40,Street Speed Hump Menu,2923 W ARGYLE ST,2021,2350,32687,2923 W ARGYLE ST,census,"c(-87.7015120139999, 41.972152243)",40,17,40017
2,Street Lighting,2923 W WILCOX ST,2008,350,1374,2923 W WILCOX ST,census,"c(-87.699621985, 41.8792126390001)",2,47,02047
31,Street Light Upgrade,2924 N LONG AVE,2013,400,25366,2924 N LONG AVE,census,"c(-87.7614330009999, 41.933946163)",31,43,31043
30,Sidewalk Menu,2924 N MERRIMAC AVE,2018,705.33,24592,2924 N MERRIMAC AVE,census,"c(-87.7821263549999, 41.9334068270001)",29,9,29009
14,Sidewalk Menu,2924 W 55TH ST,2021,4924.675,41042,2924 W 55TH ST,census,"c(-87.6972824269999, 41.7936358170001)",14,21,14021
44,Curb & Gutter Menu,2925 N SHEFFIELD AVE,2021,37815.52,35950,2925 N SHEFFIELD AVE,census,"c(-87.653937476, 41.935229898)",44,29,44029
2,Street Lighting,2929 S WABASH AV,2008,500,1375,2929 S WABASH AV,census,"c(-87.6252169529999, 41.841605547)",2,14,02014
31,Street Resurfacing Menu,2930 N PARKSIDE AVE,2021,7252.48375,42344,2930 N PARKSIDE AVE,census,"c(-87.767550699, 41.93371432)",31,15,31015
31,Miscellaneous CDOT Projects,2931 N LARAMIE AVE,2022,660,25664,2931 N LARAMIE AVE,google,"c(-87.7564965, 41.9341355)",31,47,31047
36,Curb & Gutter Menu,2931 N NEENAH AVE,2021,1187.46,29689,2931 N NEENAH AVE,census,"c(-87.789426985, 41.9334033270001)",36,10,36010
36,Curb & Gutter Menu,2931 N NEENAH AVE,2022,4976.15,29735,2931 N NEENAH AVE,census,"c(-87.789426985, 41.9334033270001)",36,10,36010
10,Guardrail Menu,2931 S EXCHANGE AV,2007,5592,7287,2931 S EXCHANGE AV,google,"c(-87.5528237, 41.737345)",10,43,10043
3,Curb & Gutter Menu,2931 S FEDERAL ST,2019,14646.81,2855,2931 S FEDERAL ST,census,"c(-87.629136936, 41.841117436)",3,46,03046
40,3 POD Cameras - 2902 W. Foster; 5158 N. California; 2931 W. Peterson,2931 W PETERSON AVE,2020,24776,42906,2931 W PETERSON AVE,census,"c(-87.7034543199999, 41.9904145770001)",40,29,40029
35,Bollard Menu,2932 N RICHMOND ST,2010,1260,28380,2932 N RICHMOND ST,census,"c(-87.701373712, 41.934662039)",35,18,35018
30,Sidewalk Menu,2934 N MERRIMAC AVE,2018,3187.89,24607,2934 N MERRIMAC AVE,census,"c(-87.782131524, 41.933563603)",29,9,29009
35,Miscellaneous CDOT Projects,2934 N MILWAUKEE AVE,2021,404,28898,2934 N MILWAUKEE AVE,census,"c(-87.716464848, 41.934590046)",35,11,35011
31,Sidewalk Menu,2935 N KOSTNER AVE,2016,4628.56,25506,2935 N KOSTNER AVE,google,"c(-87.7366217, 41.9345942)",31,31,31031
36,Curb & Gutter Menu,2935 N NATCHEZ AVE,2022,10495.63,29736,2935 N NATCHEZ AVE,census,"c(-87.7882069189999, 41.9334794540001)",36,10,36010
11,Sidewalk Menu,2935 S ELIAS CT,2015,354,8479,2935 S ELIAS CT,census,"c(-87.6564518759999, 41.841290036)",11,7,11007
12,Street Lighting,2935 W 24TH BLVD,2011,500,9161,2935 W 24TH BLVD,census,"c(-87.697091826, 41.8478586370001)",12,1,12001
31,Sidewalk Menu,2936 N KEATING AVE,2022,5588.01,42360,2936 N KEATING AVE,census,"c(-87.745432238, 41.9340837940001)",31,6,31006
11,Sidewalk Menu,2936 S QUINN ST,2022,9026.88,8779,2936 S QUINN ST,census,"c(-87.650012563, 41.8402401600001)",11,4,11004
10,Street Light Upgrade Menu,2938 E 89TH ST,2018,720,40675,2938 E 89TH ST,census,"c(-87.696185581, 41.7317028530001)",NA,NA,NA
31,Sidewalk Menu,2938 N KEATING AVE,2022,5588.01,42361,2938 N KEATING AVE,census,"c(-87.745433388, 41.9341150820001)",31,6,31006
18,Sidewalk Menu,2940 W 82ND ST,2021,2887.31,15170,2940 W 82ND ST,census,"c(-87.696306304, 41.7444307580001)",18,22,18022
30,Curb & Gutter Menu,2941 N MULLIGAN AVE,2020,6213.085,42198,2941 N MULLIGAN AVE,census,"c(-87.784541416, 41.9333050210001)",29,9,29009
2,Street Lighting,2941 S WABASH AV,2008,500,1377,2941 S WABASH AV,census,"c(-87.625213764, 41.8414786330001)",2,14,02014
2,Street Lighting,2941 W WILCOX ST,2008,350,1376,2941 W WILCOX ST,census,"c(-87.70025134, 41.8792057790001)",2,47,02047
10,Sidewalk Menu,2942 E 97TH ST,2019,7884.66666666667,40683,2942 E 97TH ST,census,"c(-87.552059857, 41.719109555)",10,7,10007
36,Curb & Gutter Menu,2942 N RUTHERFORD AVE,2020,2536.47,29649,2942 N RUTHERFORD AVE,census,"c(-87.794332067, 41.9335247230001)",36,19,36019
11,Sidewalk Menu,2942 S WELLS ST,2015,2332,8480,2942 S WELLS ST,census,"c(-87.6329496559999, 41.8405217160001)",11,14,11014
28,Street Speed Hump Menu,2944 W FLOURNOY ST,2020,1175,42004,2944 W FLOURNOY ST,census,"c(-87.699430315, 41.872853536)",2,41,02041
12,Sidewalk Menu,2944 W PERSHING RD,2018,2973.81,9535,2944 W PERSHING RD,census,"c(-87.6982044119999, 41.8227208610001)",14,12,14012
10,Sidewalk Menu,2945 E 97TH ST,2016,3096.21,7752,2945 E 97TH ST,census,"c(-87.552256251, 41.7190954060001)",10,7,10007
44,Miscellaneous CDOT Projects,2945 N BROADWAY,2019,582.5,43170,2945 N BROADWAY,google,"c(-87.6441388, 41.9362589)",44,23,44023
31,Ken-Well Park Spray Feature,2945 N KENOSHA AVE,2016,90000,25485,2945 N KENOSHA AVE,census,"c(-87.733851853, 41.934652052)",31,31,31031
31,Ken-Well Park 31st Ward,2945 N KENOSHA AVE,2017,50000,25543,2945 N KENOSHA AVE,census,"c(-87.733851853, 41.934652052)",31,31,31031
11,Sidewalk Menu,2945 S CANAL ST,2018,259.9,8623,2945 S CANAL ST,census,"c(-87.637814334, 41.8409694310001)",11,13,11013
10,Sidewalk Menu,2947 E 97TH ST,2019,7884.66666666667,40682,2947 E 97TH ST,census,"c(-87.552237514, 41.719095677)",10,7,10007
31,Sidewalk Menu,2947 N KEATING AVE,2022,5988.03,25665,2947 N KEATING AVE,census,"c(-87.7454232549999, 41.9342405350001)",31,6,31006
10,Curb & Gutter Menu,2948 E 95TH ST,2018,10175,7823,2948 E 95TH ST,census,"c(-87.55230055, 41.7227605650001)",10,7,10007
40,Sidewalk Menu,2948 W CATALPA AVE,2018,2808.66,32603,2948 W CATALPA AVE,census,"c(-87.702991041, 41.9812794110001)",40,30,40030
30,Alley Resurfacing Menu,2949 N MONITOR AVE,2022,20640.76,42232,2949 N MONITOR AVE,census,"c(-87.77240589, 41.9339180740001)",30,12,30012
11,Curb & Gutter Menu,2949 S LYMAN ST,2018,9111.79,8611,2949 S LYMAN ST,census,"c(-87.654017782, 41.8406469490001)",11,8,11008
32,Alley Apron Menu,2950 N HONORE ST,2021,11106.22,26432,2950 N HONORE ST,census,"c(-87.674180257, 41.935561659)",32,41,32041
14,Miscellaneous-CDOT,2951 W. 56 th St.,2007,171,11189,2951 W. 56 th St.,google,"c(-87.6982209, 41.7916498)",14,24,14024
10,Sidewalk Menu,2954 E 97TH ST,2019,7884.66666666667,40681,2954 E 97TH ST,google,"c(-87.5512898, 41.7192881)",10,7,10007
31,Curb & Gutter Menu,2954 N LOWELL AVE,2015,1980,25433,2954 N LOWELL AVE,census,"c(-87.735885014, 41.9345145070001)",31,31,31031
11,Street Light Upgrade Menu,2955 S UNION AVE,2021,500,40802,2955 S UNION AVE,census,"c(-87.64390867, 41.840713555)",11,47,11047
33,Sidewalk Menu,2955 W WILSON AVE,2016,1943.77,26951,2955 W WILSON AVE,census,"c(-87.702711161, 41.9647392790001)",33,24,33024
2,Street Lighting,2957 W WILCOX ST,2008,350,1378,2957 W WILCOX ST,census,"c(-87.700776525, 41.879201338)",2,47,02047
36,Curb & Gutter Menu,2958 N NORMANDY AVE,2019,20484.82,29600,2958 N NORMANDY AVE,google,"c(-87.7936056, 41.9344602)",36,19,36019
44,Sidewalk Menu,2958 N SHEFFIELD AVE,2021,17817.455,43243,2958 N SHEFFIELD AVE,census,"c(-87.6539702919999, 41.935735401)",44,27,44027
31,Street Light Upgrade Menu,2959 N LONG AVE,2022,500,42388,2959 N LONG AVE,census,"c(-87.7614438799999, 41.934639399)",31,43,31043
18,Sidewalk Menu,2959 W 73RD ST,2020,9799.72,15141,2959 W 73RD ST,census,"c(-87.6972507249999, 41.7608186090001)",18,42,18042
