ward,type,location,year,est_cost,lat,long,query
31,Street Bump Outs Menu,N CENTRAL AVE & W BARRY AVE,2020,100000,41.93675552800005,-87.76643223899998,census
30,Bollard Menu,N CENTRAL AVE & W DRUMMOND PL (2632 N),2011,1260,41.9292946,-87.7122074,google
31,In-Road State Law Stop,N CENTRAL AVE & W GEORGE ST,2013,950,41.93310145000004,-87.76630762299999,census
31,In-Road State Law Stop,N CENTRAL AVE & W GEORGE ST,2013,950,41.93310145000004,-87.76630762299999,census
31,In-Road State Law Stop,N CENTRAL AVE & W GEORGE ST,2014,950,41.93310145000004,-87.76630762299999,census
31,In-Road State Law Stop,N CENTRAL AVE & W GEORGE ST,2015,1200,41.93310145000004,-87.76630762299999,census
29,Bus Pad,N CENTRAL AVE & W JACKSON BLVD,2013,11654,41.87654163500008,-87.76472378699998,census
29,Mural at N. Central Avenue and W Lake Street w/ DCASE,N CENTRAL AVE & W LAKE ST,2021,15000,41.88773300200006,-87.76511773599998,census
37,Mural at N. Central Avenue and W Lake Street w/ DCASE - 29th Ward Partnership,N CENTRAL AVE & W LAKE ST,2022,15000,41.88773300200006,-87.76511773599998,census
37,Viaduct Improvement Menu,N CENTRAL AVE & W LAKE ST,2022,7178.5,41.88773300200006,-87.76511773599998,census
41,Miscellaneous Other,N CENTRAL AVE & W PRATT AVE,2013,4000,42.0046384,-87.761804,google
26,Left-Turn Arrow Menu,N CENTRAL PARK & W DIVISION ST,2012,70000,41.90275532100003,-87.71656151699995,census
35,Traffic Signals,N CENTRAL PARK AVE & W BELMONT AVE,2011,12000,41.93921971900005,-87.71739765299998,census
35,Pedestrian Countdown Signal Menu,N CENTRAL PARK AVE & W FULLERTON AVE,2017,20000,41.92460340800005,-87.71699164499995,census
35,In-Road State Law Stop For Pedestrians Signs Menu,N CENTRAL PARK AVE & W GEORGE ST,2020,350,41.933733,-87.717237,google
35,In-Road State Law Stop For Pedestrians Sign Menu,N CENTRAL PARK AVE & W GEORGE ST,2021,1800,41.933733,-87.717237,google
35,In-Road State Law Stop For Pedestrians Signs Menu,N CENTRAL PARK AVE & W WOLFRAM ST,2019,600,41.9328225,-87.7172064,google
35,In-Road State Law Stop For Pedestrians Signs Menu,N CENTRAL PARK AVE & W WOLFRAM ST,2020,600,41.9328225,-87.7172064,google
35,In-Road State Law Stop For Pedestrians Sign Menu,N CENTRAL PARK AVE & W WOLFRAM ST,2021,1800,41.9328225,-87.7172064,google
31,Traffic Signals,N CICERO AV & W BARRY AV,2005,20000,41.9370112,-87.7468545,google
30,Pavement Markings Menu,N CICERO AV & W CORNELIA AV,2010,286,41.9446594,-87.7469476,google
28,Miscellaneous-CDOT,N CICERO AV & W HURON ST,2009,1200,41.8931676,-87.7457481,google
31,3 POD Cameras: Belmont & Central; Laramie & Addison Cicero & Addison,N Cicero Ave & W Addison St,2021,24776,41.9461224,-87.7470138,google
30,Miscellaneous Other,N CICERO AVE & W CORNELIA AVE,2012,314,41.9446594,-87.7469476,google
37,Pedestrian Countdown Signal Menu,N CICERO AVE & W DIVISION ST,2017,20000,41.9023419,-87.7459645,google
37,Pedestrian Countdown Signal Menu,N CICERO AVE & W NORTH AVE,2017,20000,41.9096871,-87.7461915,google
47,In-Road State Law Stop,N CLAREMONT AVE & W MONTROSE AVE,2012,800,41.961326,-87.6874624,google
47,In-Road State Law Stop,N CLAREMONT AVE & W MONTROSE AVE,2015,600,41.961326,-87.6874624,google
46,Speed Indicator Signs,N CLARENDON AVE & W BITTERSWEET PL,2022,7000,41.95565301800008,-87.64973088999994,census
46,Pedestrian Countdown,N CLARENDON AVE & W BUENA AVE,2013,12000,41.95849105900004,-87.64981530699998,census
46,Pedestrian Countdown,N CLARENDON AVE & W LAWRENCE AVE,2012,12000,41.96915984000003,-87.65011679899999,census
46,Street Lighting,N CLARENDON AVE & W SUNNYSIDE AVE,2011,3500,41.963668674000075,-87.64996404299995,census
43,Traffic Signals,N CLARK ST & N LINCOLN AV,2005,28000,41.9156173,-87.6343492,google
43,Traffic Signals,N CLARK ST & N LINCOLN AV,2007,29945,41.9156173,-87.6343492,google
43,Traffic Signals,N CLARK ST & N LINCOLN AV,2008,15000,41.9156173,-87.6343492,google
49,Miscellaneous Other,N CLARK ST & N ROGERS AVE,2015,13950,42.01605584600003,-87.67520491599998,census
43,Traffic Signals,N CLARK ST & N WELLS ST,2008,15000,41.8989026,-87.6342911,google
47,In-Road State Law Stop,N CLARK ST & W AINSLIE ST,2014,550,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop,N CLARK ST & W AINSLIE ST,2015,700,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W AINSLIE ST,2016,350,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W AINSLIE ST,2016,350,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W AINSLIE ST,2017,350,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W AINSLIE ST,2017,350,41.97187728400007,-87.66783244199996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W AINSLIE ST,2017,350,41.97187728400007,-87.66783244199996,census
46,In-Road State Law Stop for Pedestrians S,N CLARK ST & W ARGYLE ST,2011,410,41.97254056500003,-87.66791283999999,census
47,Pavement Markings Menu,N CLARK ST & W ARGYLE ST,2022,200,41.97254056500003,-87.66791283999999,census
43,In-Road State Law Stop for Pedestrians S,N CLARK ST & W ARLINGTON PL,2011,410,41.9270095,-87.6413428,google
43,In-Road State Law Stop,N CLARK ST & W ARLINGTON PL,2013,550,41.9270095,-87.6413428,google
43,In-Road State Law Stop,N CLARK ST & W ARLINGTON PL,2015,350,41.9270095,-87.6413428,google
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ARLINGTON PL,2018,350,41.9270095,-87.6413428,google
43,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W ARLINGTON PL,2022,175,41.9270095,-87.6413428,google
43,Traffic Signals,N CLARK ST & W ARMITAGE AV,2007,12000,41.9184774,-87.6361277,google
43,In-Road State Law Stop,N CLARK ST & W ARTHINGTON ST,2012,550,41.9270095,-87.6413428,google
48,Pedestrian Countdown,N CLARK ST & W BALMORAL AVE,2012,125000,41.9798381,-87.6682719,google
43,Traffic Signals,N CLARK ST & W BELDEN AV,2005,43000,41.923771292000026,-87.63936359999997,census
43,Traffic Signals,N CLARK ST & W BELDEN AV,2007,12000,41.923771292000026,-87.63936359999997,census
40,Accessible Pedestrian Signal,N CLARK ST & W BRYN MAWR AVE,2018,46193,41.98349073800006,-87.66875299699996,census
47,In-Road State Law Stop,N CLARK ST & W CARMEN AVE,2015,600,41.97436961400007,-87.66820629199998,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W CARMEN AVE,2016,600,41.97436961400007,-87.66820629199998,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W CARMEN AVE,2017,350,41.97436961400007,-87.66820629199998,census
49,In-Road State Law Stop for Pedestrians S,N CLARK ST & W CHASE AVE,2011,410,42.01376049000004,-87.67482302599996,census
49,Pavement Markings,N CLARK ST & W CHASE AVE,2012,1100,42.01376049000004,-87.67482302599996,census
49,In-Road State Law Stop,N CLARK ST & W CHASE AVE,2015,350,42.01376049000004,-87.67482302599996,census
44,Sidewalk Menu,N CLARK ST & W CORNELIA AVE,2021,24712.62,41.94560732000008,-87.65522607599996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W CULLOM AVE,2017,600,41.95984174100005,-87.66526775399996,census
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W CULLOM AVE,2017,350,41.95984174100005,-87.66526775399996,census
2,Miscellaneous CDOT Projects,N CLARK ST & W DELAWARE PL,2020,20000,41.8987382,-87.6313031,google
43,In-Road State Law Stop for Pedestrians S,N CLARK ST & W DEMING PL,2011,410,41.9286784,-87.6423186,google
43,In-Road State Law Stop,N CLARK ST & W DEMING PL,2013,550,41.9286784,-87.6423186,google
43,In-Road State Law Stop,N CLARK ST & W DEMING PL,2015,350,41.9286784,-87.6423186,google
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W DEMING PL,2016,350,41.9286784,-87.6423186,google
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W DEMING PL,2016,350,41.9286784,-87.6423186,google
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W DEMING PL,2018,350,41.9286784,-87.6423186,google
43,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W DEMING PL,2022,175,41.9286784,-87.6423186,google
40,Miscellaneous-CDOT,N CLARK ST & W DEVON AV,2008,700,41.9980721,-87.670684,google
49,In-Road State Law Stop for Pedestrians S,N CLARK ST & W ESTES AVE,2011,800,42.011412876000065,-87.67443309699996,census
49,In-Road State Law Stop,N CLARK ST & W ESTES AVE,2012,950,42.011412876000065,-87.67443309699996,census
49,In-Road State Law Stop,N CLARK ST & W ESTES AVE,2014,950,42.011412876000065,-87.67443309699996,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W FARRAGUT AV,2010,800,41.977107157000034,-87.66838718699995,census
40,Miscellaneous Other,N CLARK ST & W FARRAGUT AVE,2014,275,41.977107157000034,-87.66838718699995,census
49,In-Road State Law Stop for Pedestrians S,N CLARK ST & W FARWELL AVE,2011,800,42.00656087200008,-87.67339596599999,census
49,In-Road State Law Stop,N CLARK ST & W FARWELL AVE,2012,1100,42.00656087200008,-87.67339596599999,census
49,In-Road State Law Stop,N CLARK ST & W FARWELL AVE,2014,950,42.00656087200008,-87.67339596599999,census
49,Arterial Street Bump Outs Menu,N CLARK ST & W FARWELL AVE,2022,31914.46,42.00656087200008,-87.67339596599999,census
43,Traffic Signals,N CLARK ST & W FULLERTON AV,2007,12000,41.925588281000046,-87.64047710899996,census
42,Miscellaneous-CDOT,N Clark St & W Germania Pl,2007,36000,41.91042928600007,-87.63164541599997,census
2,In-Road State Law Stop,N CLARK ST & W GERMANIA PL,2014,350,41.91042928600007,-87.63164541599997,census
2,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W GERMANIA PL,2018,600,41.91042928600007,-87.63164541599997,census
2,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W GERMANIA PL,2022,350,41.91042928600007,-87.63164541599997,census
42,In-Road State Law Stop,N CLARK ST & W GERMANIA PL,2012,800,41.91042928600007,-87.63164541599997,census
40,Traffic Signals,N CLARK ST & W GRANVILLE AV,2008,12000,41.99444091100003,-87.67014789699994,census
40,Miscellaneous Other,N CLARK ST & W GREGORY ST,2014,275,41.98255410500008,-87.66856004199997,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W GREGORY ST,2009,800,41.98255410500008,-87.66856004199997,census
2,Traffic Signals,N CLARK ST & W HARRISON ST,2010,4500,41.87452365200005,-87.63067260399998,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W HOLLYWOOD AV,2010,950,41.985130852000054,-87.66911076599996,census
48,In-Road State Law Stop,N CLARK ST & W HOLLYWOOD AVE,2015,1200,41.985130852000054,-87.66911076599996,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W HOLLYWOOD AVE,2017,600,41.985130852000054,-87.66911076599996,census
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W HOLLYWOOD AVE,2022,600,41.985130852000054,-87.66911076599996,census
2,Floodlight Menu,N CLARK ST & W HURON ST,2016,1200,41.89483614300008,-87.63119920899999,census
49,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,N CLARK ST & W JARVIS AVE,2018,48000,42.01590309000005,-87.67518481599996,census
42,Miscellaneous-CDOT,N CLARK ST & W KINZIE ST,2011,180000,41.88921232000007,-87.63105851299997,census
46,Pedestrian Countdown Signal Menu,N CLARK ST & W MONTROSE AVE,2018,25885,41.96163863100003,-87.66595113499994,census
47,Pedestrian Countdown Signal Menu,N CLARK ST & W MONTROSE AVE,2018,25885,41.96163863100003,-87.66595113499994,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W OLIVE AV,2009,800,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W OLIVE AV,2010,550,41.98445149100007,-87.66896203099998,census
40,Miscellaneous Other,N CLARK ST & W OLIVE AVE,2014,275,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop,N CLARK ST & W OLIVE AVE,2014,275,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop,N CLARK ST & W OLIVE AVE,2015,1200,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2016,600,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2016,600,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2017,600,41.98445149100007,-87.66896203099998,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W RASCHER AVE,2017,600,41.98075721500004,-87.66835100799995,census
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W RASCHER AVE,2022,600,41.98075721500004,-87.66835100799995,census
43,In-Road State Law Stop for Pedestrians S,N CLARK ST & W ROSLYN PL,2011,410,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop,N CLARK ST & W ROSLYN PL,2014,550,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ROSLYN PL,2016,350,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ROSLYN PL,2016,350,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ROSLYN PL,2017,350,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ROSLYN PL,2019,350,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W ROSLYN PL,2021,350,41.927340952000065,-87.64152629999995,census
43,In-Road State Law Stop for Pedestrians S,N CLARK ST & W SCHUBERT AVE,2011,410,41.9318282,-87.6445819,google
43,In-Road State Law Stop,N CLARK ST & W SCHUBERT AVE,2013,1100,41.9318282,-87.6445819,google
43,In-Road State Law Stop,N CLARK ST & W SCHUBERT AVE,2015,700,41.9318282,-87.6445819,google
43,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W SCHUBERT AVE,2022,350,41.9318282,-87.6445819,google
43,In-Road State Law Stop for Pedestrians S,N CLARK ST & W ST JAMES PL,2011,410,41.92781529800004,-87.64180367199998,census
43,In-Road State Law Stop,N CLARK ST & W ST JAMES PL,2013,550,41.92781529800004,-87.64180367199998,census
43,In-Road State Law Stop,N CLARK ST & W ST JAMES PL,2014,550,41.92781529800004,-87.64180367199998,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ST JAMES PL,2016,350,41.92781529800004,-87.64180367199998,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ST JAMES PL,2017,350,41.92781529800004,-87.64180367199998,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W ST JAMES PL,2018,350,41.92781529800004,-87.64180367199998,census
48,In-Road State Law Stop for Pedestria,N CLARK ST & W SUMMERDALE AV,2009,800,41.978932186000065,-87.66830678899998,census
40,Miscellaneous Other,N CLARK ST & W SUMMERDALE AVE,2014,475,41.978932186000065,-87.66830678899998,census
48,In-Road State Law Stop,N CLARK ST & W SUMMERDALE AVE,2014,950,41.978932186000065,-87.66830678899998,census
48,In-Road State Law Stop,N CLARK ST & W SUMMERDALE AVE,2015,350,41.978932186000065,-87.66830678899998,census
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W SUMMERDALE AVE,2017,600,41.978932186000065,-87.66830678899998,census
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W SUMMERDALE AVE,2022,600,41.978932186000065,-87.66830678899998,census
49,Street Light Upgrade,N CLARK ST & W TOUHY AVE,2014,1600,42.012638941000034,-87.67463409199996,census
43,Traffic Signals,N CLARK ST & W WEBSTER AV,2007,12000,41.9219657,-87.6382989,google
43,In-Road State Law Stop,N CLARK ST & W WEBSTER AVE,2012,410,41.92197038200004,-87.63827823099996,census
43,In-Road State Law Stop,N CLARK ST & W WEBSTER AVE,2014,1100,41.92197038200004,-87.63827823099996,census
47,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W WINONA ST,2022,350,41.9752867,-87.6683198,google
43,Pedestrian Refuge Island,N CLARK ST & W WISCONSIN ST,2015,37321,41.9165947,-87.6349515,google
43,Pedestrian Refuge Island Menu,N CLARK ST & W WISCONSIN ST,2016,2297.91,41.9165947,-87.6349515,google
43,In-Road State Law Stop,N CLEVELAND AVE & W ARMITAGE AVE,2014,550,41.918288165000035,-87.64124490699999,census
46,Traffic Signals,N CLIFTON AV & W MONTROSE AV,2009,40000,41.96173912800003,-87.65806009599999,census
1,Alley Apron Menu,N CLYBOURN AVE & N HOYNE AV (2950 N),2011,21141,41.9355684,-87.6809479,google
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & N KENMORE AVE,2018,600,41.91551042300006,-87.65592151599998,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & N KENMORE AVE,2020,600,41.91551042300006,-87.65592151599998,census
43,In-Road State Law Stop For Pedestrians Sign Menu,N CLYBOURN AVE & N KENMORE AVE,2022,600,41.91551042300006,-87.65592151599998,census
2,Miscellaneous CDOT Projects,N CLYBOURN AVE & N LAKEWOOD AVE,2021,69368.96,41.91935745500007,-87.66125992699995,census
43,In-Road State Law Stop,N CLYBOURN AVE & N MAGNOLIA AVE,2012,410,41.91821982700003,-87.65968815099995,census
32,In-Road State Law Stop,N CLYBOURN AVE & N OAKLEY AVE,2014,950,41.93766804200004,-87.68557622499998,census
32,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & W BARRY AVE,2017,600,41.93766804200004,-87.68557622499998,census
2,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & W WISCONSIN ST,2017,350,41.915056176000064,-87.65529039399996,census
2,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & W WISCONSIN ST,2019,350,41.915056176000064,-87.65529039399996,census
43,In-Road State Law Stop For Pedestrians Signs Menu,N CLYBOURN AVE & W WISCONSIN ST,2018,350,41.915056176000064,-87.65529039399996,census
42,Pavement Markings Menu,N COLUMBUS DR & W RANDOLPH ST,2010,2600,41.8844345,-87.6206769,google
42,Bollard Menu,N COLUMBUS LOWER DR & E SOUTH WATER LOWER ST,2022,37933.16,41.8868609,-87.6203062,google
27,In-Road State Law Stop,N CROSBY ST & N LARRABEE ST,2014,550,41.89945499300006,-87.64305385699998,census
32,In-Road State Law Stop for Pedestria,N DAMEN AV & W CHARLESTON ST,2010,550,41.9200585,-87.6777089,google
32,In-Road State Law Stop for Pedestria,N DAMEN AV & W CORTLAND ST,2010,550,41.9162465,-87.6775942,google
32,In-Road State Law Stop for Pedestria,N DAMEN AV & W CORTLAND ST,2010,800,41.9162465,-87.6775942,google
47,Floodlight Menu,N DAMEN AVE & W BELLE PLAINE AVE,2012,500,41.9559872,-87.6788155,google
47,Arterial Street Bump Outs Menu,N DAMEN AVE & W BELLE PLAINE AVE,2021,30908.1,41.9559872,-87.6788155,google
47,Arterial Street Bump Outs Menu,N DAMEN AVE & W BELLE PLAINE AVE,2022,19091.9,41.9559872,-87.6788155,google
47,In-Road State Law Stop,N DAMEN AVE & W BERENICE AVE,2015,350,41.9514098,-87.6786695,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W BERENICE AVE,2016,350,41.9514098,-87.6786695,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W BERENICE AVE,2017,350,41.9514098,-87.6786695,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W BERENICE AVE,2018,350,41.9514098,-87.6786695,google
32,In-Road State Law Stop,N DAMEN AVE & W CHARLESTON ST,2014,350,41.9200585,-87.6777089,google
32,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W CHARLESTON ST,2016,350,41.9200585,-87.6777089,google
32,Arterial Street Bump Outs Menu,N DAMEN AVE & W CHURCHILL ST,2017,30000,41.9147072,-87.6775761,google
32,Arterial Street Bump Outs Menu,N DAMEN AVE & W CHURCHILL ST,2021,4550,41.9147072,-87.6775761,google
32,Arterial Street Bump Outs Menu,N DAMEN AVE & W CHURCHILL ST,2022,30774.27,41.9147072,-87.6775761,google
32,In-Road State Law Stop,N DAMEN AVE & W CORTLAND ST,2012,950,41.9162465,-87.6775942,google
32,In-Road State Law Stop,N DAMEN AVE & W CORTLAND ST,2014,950,41.9162465,-87.6775942,google
47,Sidewalk Menu,N DAMEN AVE & W CULLOM AVE,2020,3736.06,41.9596231,-87.6789069,google
47,In-Road State Law Stop,N DAMEN AVE & W EASTWOOD AVE,2012,550,41.9660056,-87.6791075,google
47,In-Road State Law Stop,N DAMEN AVE & W EASTWOOD AVE,2014,550,41.9660056,-87.6791075,google
47,In-Road State Law Stop,N DAMEN AVE & W EASTWOOD AVE,2015,350,41.9660056,-87.6791075,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EASTWOOD AVE,2016,350,41.9660056,-87.6791075,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EASTWOOD AVE,2017,350,41.9660056,-87.6791075,google
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EASTWOOD AVE,2020,350,41.9660056,-87.6791075,google
47,Sidewalk Menu,N DAMEN AVE & W EASTWOOD AVE,2020,9232.71,41.9660056,-87.6791075,google
47,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W EASTWOOD AVE,2022,350,41.9660056,-87.6791075,google
1,Miscellaneous-CDOT,N Damen Ave & W Erie St,2010,700,41.8931679,-87.6769585,google
1,In-Road State Law Stop,N DAMEN AVE & W EVERGREEN AVE,2013,950,41.9060102,-87.6773251,google
1,In-Road State Law Stop,N DAMEN AVE & W EVERGREEN AVE,2014,2450,41.9060102,-87.6773251,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE,2016,600,41.9060102,-87.6773251,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE,2016,600,41.9060102,-87.6773251,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE,2018,600,41.9060102,-87.6773251,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EVERGREEN AVE,2019,600,41.9060102,-87.6773251,google
1,Pavement Markings Menu,N DAMEN AVE & W GEORGE ST,2011,1000,41.9341108,-87.6781816,google
32,Pavement Markings Menu,N DAMEN AVE & W GEORGE ST,2022,594.72,41.9341108,-87.6781816,google
47,Pedestrian Countdown,N DAMEN AVE & W GRACE ST,2015,33100,41.9505032,-87.6786568,google
1,In-Road State Law Stop,N DAMEN AVE & W HURON ST,2014,950,41.8940899,-87.677008,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST,2016,600,41.8940899,-87.677008,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST,2016,600,41.8940899,-87.677008,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST,2018,600,41.8940899,-87.677008,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W HURON ST,2019,600,41.8940899,-87.677008,google
1,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W HURON ST,2021,1200,41.8940899,-87.677008,google
2,In-Road State Law Stop,N DAMEN AVE & W IOWA ST,2015,600,41.8977273,-87.6771107,google
2,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W IOWA ST,2016,600,41.8977273,-87.6771107,google
2,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W IOWA ST,2016,600,41.8977273,-87.6771107,google
1,In-Road State Law Stop,N DAMEN AVE & W LE MOYNE ST,2014,1900,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST,2016,600,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST,2016,350,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST,2018,600,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST,2019,600,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W LE MOYNE ST,2019,600,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W LE MOYNE ST,2021,600,41.9082543,-87.6773976,google
1,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W LE MOYNE ST,2022,600,41.9082543,-87.6773976,google
1,Arterial Street Bump Outs Menu,N DAMEN AVE & W LE MOYNE ST,2017,60000,41.9082543,-87.6773976,google
1,Arterial Street Bump Outs Menu,N DAMEN AVE & W LE MOYNE ST,2018,9256.635,41.9082543,-87.6773976,google
40,Alley Speed Hump Menu,N DAMEN AVE & W PETERSON AVE,2017,350,41.9906281,-87.6798169,google
1,Arterial Street Bump Outs Menu,N DAMEN AVE & W PIERCE AVE,2017,60000,41.9093633,-87.6774202,google
1,Arterial Street Bump Outs Menu,N DAMEN AVE & W PIERCE AVE,2018,9256.635,41.9093633,-87.6774202,google
32,In-Road State Law Stop for Pedestrians S,N DAMEN AVE & W ST PAUL AVE,2011,550,41.913078391000056,-87.67752037099996,census
47,Sidewalk Menu,N DAMEN AVE & W SUNNYSIDE AVE,2020,15969.38,41.963274725000076,-87.67902782899995,census
1,In-Road State Law Stop,N DAMEN AVE & W THOMAS ST,2013,950,41.9013968,-87.677224,google
2,In-Road State Law Stop,N DAMEN AVE & W THOMAS ST,2015,600,41.9013968,-87.677224,google
47,Pedestrian Countdown Signal Menu,N DAMEN AVE & W WILSON AVE,2018,46066,41.9650895,-87.6790765,google
47,In-Road State Law Stop,N DAMEN AVE & W WINONA ST,2012,800,41.9747011,-87.6793491,google
40,Sidewalk Menu,N DAMEN AVE & W WINONA ST,2022,21460.19,41.9747011,-87.6793491,google
30,Floodlight Menu,N DAVLIN CT & N MILWAUKEE AVE,2021,475,41.9385313,-87.7229137,google
42,Miscellaneous-CDOT,N DEARBORN PW & W DELAWARE PL,2009,500,41.8992263,-87.6328705,google
42,Traffic Signals,N DEARBORN ST & E OAK ST,2006,24000,41.9005684,-87.629895200000007,google
42,Street Lighting,N DEARBORN ST & W BURTON PL,2007,80000,41.90946049300004,-87.63015001799994,census
2,1 POD Camera: N Dearborn & W Division,N DEARBORN ST & W DIVISION ST,2020,24776,41.90392510800007,-87.62998520299999,census
42,Street Lighting,N DEARBORN ST & W GOETHE ST,2007,80000,41.90580641500003,-87.63004148099998,census
42,1 PTZ Camera Hubbard and Dearborn,N DEARBORN ST & W HUBBARD ST,2022,24776,41.89004041700008,-87.62960331399995,census
