"ward","type","location","year","est_cost","id"
23,"Alley Speed Hump Menu"," 3607 W 61ST ST",2022,1050,20564
23,"Diagonal Parking Menu"," 6758 W ARCHER AVE",2022,20000,20572
23,"Street Light Upgrade Menu"," 5430 S NOTTINGHAM AVE",2022,500,20600
23,"Street Resurfacing Menu"," 5300 S NAGLE AVE",2022,23240.61,20606
24,"5 POD Camera + 5 LPR Existing Cameras: Various Locations"," 4100 W ARTHINGTON ST",2021,33552.8,21217
24,"Alley Speed Hump Menu"," 4300 W CULLERTON ST",2021,700,21234
24,"Alley Resurfacing Menu"," 3752 W 16TH ST",2022,15895.61,21277
24,"Alley Resurfacing Menu"," 735-757 SINDEPENDENCE BLVD",2022,17460.315,21281
24,"Miscellaneous CDOT Projects"," 1608 S TRUMBULL AVE",2022,150,21295
24,"Miscellaneous CDOT Projects"," 1610 S TRUMBULL AVE",2022,150,21295
25,"POD Camera"," 348 W 24 thPl",2007,24000,21513
25,"POD Camera"," 1301 S Heath",2007,24000,21513
25,"Alley Resurfacing Menu"," 927 S CARPENTER ST",2021,20074.81,22223
25,"Miscellaneous CDOT Projects"," 1942 S MAY ST",2021,660,22226
25,"Miscellaneous CDOT Projects"," 2030 S BLUE ISLAND AVE",2022,660,22278
26,"Miscellaneous - Paseo Boriqua Medalli"," 2733 W Division",2005,8250,22358
26,"Miscellaneous - Paseo Boriqua Medalli"," 2739 W Division",2005,8250,22358
26,"Miscellaneous - Paseo Boriqua Medalli"," 2459 W Division",2005,8250,22358
26,"Alley Resurfacing Menu"," 3524-3556 W NORTH AVE",2021,16751.2333333333,23069
26,"Alley Resurfacing Menu"," 1501 N KARLOV AVE",2021,18594.74,23075
26,"Alley Resurfacing Menu"," 1615 N KEYSTONEAVE",2021,30151.565,23077
26,"Alley Resurfacing Menu"," 1615 N LOWELL AVE",2021,25154.14,23079
26,"Alley Resurfacing Menu"," 1700 N PULASKI RD",2021,16466.03,23082
26,"Alley Resurfacing Menu"," 3400 W EVERGREEN AVE",2021,19547.65,23084
26,"Alley Resurfacing Menu"," 2600 W EVERGREEN AVE",2021,20045.37,23085
26,"Alley Resurfacing Menu"," 4016 W KAMERLINGAVE",2021,22575.86,23087
26,"Alley Resurfacing Menu"," 3410 W PIERCE AVE",2021,18468.11,23089
26,"Alley Speed Hump Menu"," 2606 W DIVISIONST",2021,1400,23092
26,"Sidewalk Menu"," 1130 N FRANCISCO AVE",2021,2847.95,23113
26,"Sidewalk Menu"," 1111 N FRANCISCO AVE",2021,2847.95,23113
26,"Sidewalk Menu"," 4305 W LE MOYNE ST",2021,51631.255,23116
26,"Street Speed Hump Menu"," 1045 NSACRAMENTO AVE",2021,1175,23131
26,"Alley Resurfacing Menu"," 1300 N ARTESIANAVE",2022,22075.835,23145
26,"Alley Resurfacing Menu"," 1400 NCENTRAL PARK AVE",2022,23051.98,23146
26,"Alley Resurfacing Menu"," 1400 N KARLOV AVE",2022,24739.38,23147
26,"Alley Resurfacing Menu"," 1501 N KARLOV AVE",2022,2960.665,23148
26,"Alley Resurfacing Menu"," 1501 NSPRINGFIELD AVE",2022,25872.175,23149
26,"Alley Resurfacing Menu"," 3500 W ARMITAGEAVE",2022,16728.465,23152
26,"Alley Resurfacing Menu"," 3615 WDICKENS AVE",2022,23288.325,23153
26,"Alley Resurfacing Menu"," 3501 W LEMOYNE ST",2022,39467.915,23156
26,"Alley Resurfacing Menu"," 4101 W NORTH AVE",2022,18309.04,23157
26,"Sidewalk Menu"," 1456 N SPRINGFIELD AVE",2022,3742.22666666667,23180
26,"Sidewalk Menu"," 3901 W LE MOYNE ST",2022,3742.22666666667,23180
27,"Alley Resurfacing Menu"," 617 W EVERGREEN AVE",2022,10050.41,23949
27,"Sidewalk Menu"," 639 N HOMAN AVE",2022,24175.9433333333,23963
28,"Alley Speed Hump Menu","240- 268 N HAMLIN BLVD",2016,1400,24567
28,"Sidewalk Menu"," 324 S LEAMINGTON AVE",2021,7993.305,24767
28,"Sidewalk Menu"," 2534 W LEXINGTON ST",2021,20374.675,24770
28,"Street Light Residential Staggered Piggy Back Menu","AVE (250 N)",2021,41570.75,24773
28,"Street Light Residential Staggered Piggy Back Menu"," ON & N KILDARE AVE FROM W",2021,41570.75,24773
28,"Street Light Upgrade Menu"," 147 S WHIPPLE ST",2021,625,24774
28,"Street Light Upgrade Menu"," 201 S WHIPPLE ST",2021,625,24774
28,"Street Light Upgrade Menu"," 3023 W FIFTH AVE",2021,500,24775
29,"Alley Resurfacing Menu"," 1645 N OAKPARK AVE",2021,21679.305,25451
29,"Alley Resurfacing Menu"," 5400 W QUINCY ST",2021,35012.575,25454
29,"Alley Resurfacing Menu"," 7117 W BELMONTAVE",2021,12369.685,25455
29,"Sidewalk Menu"," 6928 W PALMER ST",2021,10624.77,25494
29,"Street Light Upgrade Menu"," 3108 N SAYRE AVE",2021,250,25506
29,"Street Speed Hump Menu"," 5900 W IOWAST",2021,2350,25527
29,"Alley Resurfacing Menu"," 1324 N CENTRALAVE",2022,18001.14,25541
29,"Alley Resurfacing Menu"," 1457 N MASON AVE",2022,18976.075,25542
29,"Alley Resurfacing Menu"," 1837 NNATOMA AVE",2022,22075.835,25543
29,"Alley Resurfacing Menu"," 1900 N OAKPARK AVE",2022,21333.83,25544
29,"Alley Resurfacing Menu"," 5255 WJACKSON BLVD",2022,20831.59,25549
29,"Alley Resurfacing Menu"," 5548 W GLADYS AVE",2022,19183.98,25550
29,"Alley Speed Hump Menu"," 5045 WGLADYS AVE",2022,1400,25552
29,"Miscellaneous CDOT Projects"," 5339 W MONROE ST",2022,125,25563
29,"Miscellaneous CDOT Projects"," 132 N WALLER AVE",2022,125,25563
29,"Miscellaneous CDOT Projects"," 5300 W VAN BUREN ST",2022,125,25563
29,"Miscellaneous CDOT Projects"," 5930 WCHICAGO AVE",2022,125,25563
29,"Miscellaneous CDOT Projects"," 5517 W WEST END AVE",2022,125,25563
29,"Sidewalk Menu"," 2056 N NEVA AVE",2022,12616.335,25573
29,"Sidewalk Menu"," 6928 W PALMER ST",2022,17875.065,25574
29,"Street Resurfacing Menu"," 1400 N PARKSIDE AVE",2022,1340.87,25587
30,"Alley Resurfacing Menu"," 3570 N MILWAUKEEAVE",2021,36430.66,26670
30,"Curb & Gutter Menu"," 5347 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5353 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5355 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5319 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5323 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5328 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5318 W MELROSE ST",2022,2293.26444444444,26748
30,"Curb & Gutter Menu"," 5340 W",2022,2293.26444444444,26748
30,"Curb & Gutter Menu","MELROSE ST 5531 W PARKER AVE",2022,3452.64,26749
30,"Curb & Gutter Menu"," 5515 W PARKER AVE",2022,3452.64,26749
30,"Curb & Gutter Menu"," 5518 W PARKER AVE",2022,3452.64,26749
30,"Curb & Gutter Menu"," 5536 W PARKER AVE",2022,3452.64,26749
30,"Curb & Gutter Menu"," 5537 W PARKER AVE",2022,3452.64,26749
30,"Curb & Gutter Menu"," 5529 W PARKER AVE",2022,3452.64,26749
30,"Sidewalk Menu"," 2519 N MANGO AVE",2022,5770.555,26756
30,"Sidewalk Menu"," 2629 N MANGO AVE",2022,4471.96333333333,26758
30,"Sidewalk Menu"," 2635 N MANGO AVE",2022,4471.96333333333,26758
30,"Sidewalk Menu"," 3504 N KILPATRICK AVE",2022,4204.4575,26769
30,"Sidewalk Menu"," 3505 N KILPATRICK AVE",2022,4204.4575,26769
30,"Sidewalk Menu"," 3525 NKILPATRICK AVE",2022,4204.4575,26769
30,"Sidewalk Menu"," 4834 W WAVELAND AVE",2022,3989.935,26772
31,"Street Resurfacing Menu","4800- 4832 W NEWPORT AVE",2020,8977.735,27680
31,"Alley Apron Menu"," 3112-3210 NLAMON AVE",2021,5988.675,27692
31,"Alley Apron Menu"," 2811-2815 NLINDER AVE",2021,6577.91,27693
31,"Alley Apron Menu"," 3725 WWRIGHTWOOD AVE",2021,5888.08,27694
31,"Alley Resurfacing Menu"," 2901 N KILPATRICK AVE",2021,16176.27,27700
31,"Street Light Upgrade Menu"," 3122 N CENTRAL AVE",2021,500,27728
31,"Street Light Upgrade Menu"," 3116 N LOTUS AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3010 N LAVERGNE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3038 N CENTRAL AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 2556 N LARAMIE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 2524 N LARAMIE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3237 N LAVERGNE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3058 N CENTRAL AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 5236 W SCHOOL ST",2021,750,27729
31,"Street Light Upgrade Menu"," 5000 W FLETCHER ST",2021,750,27729
31,"Street Light Upgrade Menu"," 4858 W MELROSE ST",2021,750,27729
31,"Street Light Upgrade Menu"," 3535 N LAVERGNE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3303 N LAMON AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 3305 N LAVERGNE AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 4812 W NEWPORT AVE",2021,750,27729
31,"Street Light Upgrade Menu"," 2557 N LOCKWOOD AVE",2021,750,27729
31,"Street Resurfacing Menu"," 2724 N RIDGEWAY AVE",2021,7252.48375,27730
31,"Street Resurfacing Menu"," 2930 N PARKSIDE AVE",2021,7252.48375,27730
31,"Street Resurfacing Menu"," 3016 N PARKSIDE AVE",2021,7252.48375,27730
31,"Street Resurfacing Menu"," 3108 N LOCKWOOD AVE",2021,7252.48375,27730
31,"Street Resurfacing Menu"," 5219 W WRIGHTWOOD AVE",2021,7252.48375,27730
31,"Street Resurfacing Menu"," 2500 N LARAMIE AVE",2021,7252.48375,27730
31,"Alley Resurfacing Menu"," 2813 N KOSTNERAVE",2022,23782.625,27746
31,"Alley Resurfacing Menu"," 3001 N LINDER AVE",2022,20670.305,27747
31,"Alley Resurfacing Menu"," 2300 N TRIPP AVE",2022,27015.33,27748
31,"Alley Speed Hump Menu"," 5218 WDIVERSEY AVE",2022,700,27752
31,"Floodlight Menu"," 2314 N LOCKWOOD AVE",2022,950,27761
31,"Sidewalk Menu"," 2938 N KEATING AVE",2022,5588.01,27763
31,"Sidewalk Menu"," 4558 W SCHUBERT AVE",2022,7363.13,27765
31,"Sidewalk Menu"," 5259 WOAKDALE AVE",2022,3721.4,27773
31,"Speed Indicator Signs"," 3451 N LARAMIE AVE",2022,6192.80333333333,27776
31,"Street Light Upgrade Menu"," 2434 N LOTUS AVE",2022,500,27777
31,"Street Light Upgrade Menu"," 2458 N LOTUS AVE",2022,500,27777
31,"Street Light Upgrade Menu"," 2457 N LOTUS AVE",2022,500,27778
31,"Street Light Upgrade Menu"," 2415 N LOTUS AVE",2022,500,27778
31,"Street Light Upgrade Menu"," 2821 N LONG AVE",2022,500,27779
31,"Street Light Upgrade Menu"," 2825 N LONG AVE",2022,500,27779
31,"Street Light Upgrade Menu"," 2845 N LONG AVE",2022,500,27779
31,"Street Light Upgrade Menu"," 2923-2925 N LONG AVE",2022,500,27780
31,"Street Light Upgrade Menu"," 2959 N LONG AVE",2022,500,27780
31,"Street Light Upgrade Menu"," 4923 W BARRY AVE",2022,500,27782
31,"Street Light Upgrade Menu"," 5418 W SCHUBERT AVE",2022,500,27784
31,"Street Light Upgrade Menu"," 5435 W SCHUBERT AVE",2022,500,27784
31,"Street Light Upgrade Menu"," 5456 WSCHUBERT AVE",2022,500,27784
31,"Street Light Upgrade Menu"," 5428 W SCHUBERT AVE",2022,500,27784
31,"Street Light Upgrade Menu"," 5521 W DRUMMOND PL",2022,500,27786
31,"Street Light Upgrade Menu"," 5539 W DRUMMOND PL",2022,500,27786
31,"Street Light Upgrade Menu"," 5555 W DRUMMONDPL",2022,500,27786
31,"Street Light Upgrade Menu"," 5537 W SCHUBERT AVE",2022,500,27787
32,"Chicago Park District","Supera",2007,98750,27979
32,"Alley Apron Menu"," 1544 W BARRY AVE",2021,15881.71,28593
32,"Alley Resurfacing Menu"," 2300 W NELSON ST",2021,14557.45,28602
32,"Alley Resurfacing Menu"," 2219 N SEELEY AVE",2021,9633.46333333333,28605
32,"Street Resurfacing Menu"," ONN HONORE ST FROM & W WABANSIA AVE (1700 N) TO & W CORTLAND ST (1900 N)",2022,31929.865,28677
33,"Alley Resurfacing Menu"," 4313 N MOZARTST",2021,15885.36,29330
33,"Street Light Upgrade Menu"," 4338 N FRANCISCO AVE",2021,500,29374
33,"Street Light Upgrade Menu"," 3738 N SACRAMENTO AVE",2021,500,29374
33,"Street Speed Hump Menu"," 4917 N DRAKEAVE",2021,2350,29392
33,"Miscellaneous CDOT Projects"," 4801 N CENTRAL PARK AVE",2022,2600,29426
33,"Miscellaneous CDOT Projects"," 3537 W LAWRENCE AVE",2022,2600,29426
33,"Miscellaneous CDOT Projects"," 4801 N STLOUIS AVE",2022,2600,29426
33,"Miscellaneous CDOT Projects"," 4600 N KIMBALL AVE",2022,2600,29426
33,"Miscellaneous CDOT Projects"," 3001 W IRVING PARK RD",2022,2600,29426
33,"Sidewalk Menu"," 4925 N MONTICELLO AVE",2022,11360.8233333333,29438
33,"Sidewalk Menu"," 4957 N MONTICELLO AVE",2022,11360.8233333333,29438
33,"Street Speed Hump Menu"," 4500 NRICHMOND ST",2022,2350,29448
33,"Street Speed Hump Menu"," 2400 W FLETCHER ST",2022,1175,29451
34,"Alley Resurfacing Menu","100- 134 W 111TH ST",2016,7769.115,30149
34,"Alley Resurfacing Menu"," 12222 S BISHOP ST",2022,27478.875,30393
35,"Floodlight Menu"," 3812 W WILSON AVE",2021,950,31259
35,"Miscellaneous CDOT Projects"," 4201 N ST LOUIS AVE",2021,660,31283
35,"Street Light Upgrade Menu"," 3933 N BERNARD ST",2021,500,31299
36,"Miscellaneous CDOT"," 3425 N MAJOR AVE",2015,16666.6666666667,31857
36,"Miscellaneous CDOT"," 3030 N MOBILE AVE",2015,16666.6666666667,31857
36,"Alley Apron Menu"," 2201 N NATCHEZ AVE",2021,11380.155,32131
36,"Alley Resurfacing Menu"," 3258 N NORMANDY AVE",2021,9387.26666666667,32132
36,"Alley Resurfacing Menu"," 2208 N MERRIMAC AVE",2021,10935.67,32134
36,"Concrete Alley Menu"," 3007 NNEW ENGLAND AVE",2021,20268.9,32154
36,"Curb & Gutter Menu"," 3307 N NEWLAND AVE",2021,3924.855,32162
36,"Sidewalk Menu"," 2105 N MERRIMAC AVE",2021,7650.61,32167
36,"Sidewalk Menu"," 2186 N MERRIMAC AVE",2021,7650.61,32167
36,"Sidewalk Menu"," 2215 N MOBILE AVE",2021,3973.18,32171
36,"Sidewalk Menu"," 2245 N KEATING AVE",2021,3881.74333333333,32172
36,"Sidewalk Menu"," 2246 N KEATING AVE",2021,3881.74333333333,32172
36,"Sidewalk Menu"," 2850 N NEW ENGLAND AVE",2021,4581.94,32174
36,"Sidewalk Menu"," 3024 N NEWCASTLE AVE",2021,2809.58,32177
36,"Sidewalk Menu"," 6928 W PALMER ST",2021,28499.835,32183
36,"Alley Resurfacing Menu"," 2235 N KEATINGAVE",2022,23096.295,32205
36,"Alley Resurfacing Menu"," 5615 W EDDY ST",2022,16987.515,32209
36,"Alley Resurfacing Menu"," 5600 W NEWPORTAVE",2022,17799.96,32210
36,"Alley Resurfacing Menu"," 5800 W ROSCOEST",2022,14727.435,32214
36,"Concrete Alley Menu"," 2900 NNEWCASTLE AVE",2022,4561.14,32223
36,"Sidewalk Menu"," 2203 N MOBILE AVE",2022,15306.275,32245
36,"Sidewalk Menu"," 2300 N OAK PARK AVE",2022,1720.038,32254
36,"Sidewalk Menu"," 2312 N OAK PARK AVE",2022,1720.038,32254
36,"Sidewalk Menu"," 2350 N OAK PARK AVE",2022,1720.038,32254
36,"Sidewalk Menu"," 2749 N RUTHERFORD AVE",2022,3716.2325,32256
36,"Sidewalk Menu"," 2723 N RUTHERFORD AVE",2022,3716.2325,32256
36,"Sidewalk Menu"," 2726 NRUTHERFORD AVE",2022,3716.2325,32256
36,"Sidewalk Menu"," 2744 N OAK PARK AVE",2022,4271.835,32257
37,"Alley Resurfacing Menu"," 4719 WGRAND AVE",2021,41000,33007
37,"Alley Resurfacing Menu"," 4300 W AUGUSTABLVD",2021,18809.065,33008
37,"Sidewalk Menu"," 1234 N LAMON AVE",2021,10538.345,33016
37,"Sidewalk Menu"," 4900 W POTOMAC AVE",2021,4936.765,33017
37,"Alley Resurfacing Menu"," 5527 W CRYSTAL ST",2022,15498.985,33065
37,"Alley Resurfacing Menu"," 5445 W NORTH AVE",2022,14769.55,33069
37,"Alley Resurfacing Menu"," 4900 W WALTON ST",2022,2056.635,33070
37,"Street Resurfacing Menu"," 5200 N LARAMIE AVE",2022,53917.925,33097
38,"Speed Indicator Signs"," 7015 W IRVING PARK RD",2022,9333.33333333333,33942
38,"Speed Indicator Signs"," 6949 W IRVING PARK RD",2022,9333.33333333333,33942
39,"POD Camera"," 3532 W Lawrence",2007,12000,34082
39,"Curb & Gutter Menu"," 6375-6399 N LEHIGH AVE",2021,16204.775,34619
39,"Miscellaneous CDOT Projects"," 5405 W DEVON AVE",2021,8333.33333333333,34622
39,"Miscellaneous CDOT Projects"," 5363 W DEVON AVE",2021,8333.33333333333,34622
39,"Miscellaneous CDOT Projects"," 5001 N PULASKI RD",2021,2537.5,34625
39,"Speed Indicator Signs"," 4418 W FOSTER AVE",2021,5500,34632
39,"Street Resurfacing Menu"," 5400 N LAPORTE AVE",2021,11898.905,34641
39,"Eugene Fields and Hollywood Parks Tennis Courts Rehabilitation"," 3312 W THORNDALE AVE",2022,32500,34659
40,"POD Camera"," 5900 N California",2006,36000,34802
40,"Concrete Alley Menu"," 5814 NHERMITAGE AVE",2021,70000,35400
40,"Concrete Alley Menu"," 6001 N PAULINA ST",2021,8919.27,35401
40,"Street Light Upgrade Menu"," 5334 N CALIFORNIA AVE",2021,331.12,35417
40,"Alley Resurfacing Menu"," 6100-6104 N SEELEY AVE",2022,6576.85,35444
40,"Concrete Alley Menu"," 6001 N PAULINA ST",2022,56080.73,35446
40,"Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping"," 2650 W PETERSON AVE",2022,40000,35451
40,"Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping"," 1820 W GRANVILLE AVE",2022,40000,35451
40,"Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping"," 5941 N RICHMOND ST",2022,40000,35451
40,"Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping"," 5100 N FRANCISCO AVE",2022,40000,35451
40,"Sidewalk Menu"," 4820 N WASHTENAW AVE",2022,1217.80666666667,35458
40,"Viaduct Improvement Menu"," W",2022,5516.764,35472
42,"W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK","ST",2018,36014.6666666667,36957
43,"POD Camera"," 2100 N Howe",2008,24000,37352
43,"POD Camera"," 1350 N Wells",2008,24000,37352
43,"Curb & Gutter Menu"," 400 W DEMING PL",2021,13727.88,38041
43,"Sidewalk Menu"," 1056 W ARMITAGE AVE",2021,3430.79,38051
43,"Street Resurfacing Menu","1-20 E BANKS ST",2021,13606.915,38057
43,"Alley Resurfacing Menu"," 2113 N CLIFTONAVE",2022,18228.34,38068
43,"Alley Resurfacing Menu"," 1600 N HALSTED ST",2022,26311.91,38069
43,"Alley Resurfacing Menu"," 1944 N MAUD AVE",2022,5892.83,38070
43,"Alley Resurfacing Menu"," 2748 NMILDRED AVE",2022,24217.74,38071
43,"Concrete Alley Menu"," 613 W BELDEN AVE",2022,120969.665,38079
43,"In-Road State Law Stop For Pedestrians Sign Menu"," 2530 N CLARK ST",2022,175,38089
43,"In-Road State Law Stop For Pedestrians Sign Menu"," 2717 N CLARK ST",2022,350,38090
44,"Alley Apron Menu"," 3014 N CLIFTON AVE",2021,9603.075,38839
44,"Alley Apron Menu"," 3114 N CLIFTON AVE",2021,8447.15,38840
44,"Alley Apron Menu"," 3147 N CAMBRIDGE AVE",2021,5994.52,38841
44,"Alley Apron Menu"," 3515 N LAKEWOOD AVE",2021,6039.24,38842
44,"Alley Apron Menu"," 3614 N WILTON AVE",2021,10950.52,38843
44,"Alley Resurfacing Menu"," 2817 NCLARK ST",2021,4736.0575,38846
44,"Alley Resurfacing Menu"," 611 W SURF ST",2021,4736.0575,38846
44,"Alley Resurfacing Menu"," 3538-3550 N CLARK ST",2021,4608.785,38848
44,"Alley Resurfacing Menu"," 3154-3184 N CLARKST",2021,7070.74333333333,38849
44,"Alley Resurfacing Menu"," 850-918 W FLETCHER ST",2021,7070.74333333333,38849
44,"Alley Resurfacing Menu"," 3717 N RACINE AVE",2021,9723.235,38852
44,"Alley Resurfacing Menu"," 2848 NSHEFFIELD AVE",2021,14166.11,38854
44,"Alley Resurfacing Menu"," 946 WDIVERSEY PKWY",2021,15021.36,38855
44,"Alley Resurfacing Menu"," 1002 WDIVERSEY PKWY",2021,3367.96,38856
44,"Curb & Gutter Menu"," 3719 NLAKEWOOD AVE",2021,11836.46,38868
44,"Miscellaneous CDOT Projects"," 2937-2951 N SHEFFIELD AVE",2021,2212.5,38869
44,"Sidewalk Menu"," 2935-2951 N SHEFFIELD AVE",2021,17817.455,38871
44,"Sidewalk Menu"," 3478 N CLARK ST",2021,24712.62,38875
44,"Alley Apron Menu"," 1143 W GEORGE ST",2022,41172.68,38886
44,"Alley Apron Menu"," 1142 W OAKDALE AVE",2022,18813.92,38887
44,"Alley Apron Menu"," 1343 W WAVELAND AVE",2022,16907.375,38888
44,"Alley Resurfacing Menu"," 3309-3321 N CLARK ST",2022,2762.315,38906
44,"Alley Resurfacing Menu"," 3236-3258 NSOUTHPORT AVE",2022,5672.35,38907
44,"Alley Resurfacing Menu"," 1244-1254 WADDISON ST",2022,6576.85,38908
44,"Miscellaneous CDOT Projects"," 2937-2951 N SHEFFIELD AVE",2022,537.5,38913
45,"Chicago Park District"," 5421 N. Menard",2006,1e+05,39035
45,"Alley Resurfacing Menu","W GOODMAN ST",2019,5412.52333333333,39630
46,"Alley Speed Hump Menu"," 4417 N BEACONST",2021,350,40225
46,"Concrete Alley Menu"," 4300 N MARINEDR",2021,1686.78,40230
46,"Miscellaneous CDOT Projects"," 4438 N RACINE AVE",2021,16398.165,40234
46,"Sidewalk Menu"," 4545 N BROADWAY",2021,6885.77,40241
46,"Concrete Alley Menu"," 4300 N MARINEDR",2022,29028.735,40271
46,"Sidewalk Menu"," 4545 N BROADWAY",2022,15207.37,40279
46,"Speed Indicator Signs"," 4140 N MARINE DR",2022,7000,40288
46,"Speed Indicator Signs"," 4420 N BEACON ST",2022,5500,40289
47,"Sidewalk Menu"," ON & W BELLE PLAINE AVE FROM & N CLAREMONT AVE (2330 W) TON WESTERN AVE (2400 W)",2021,2207.545,41300
47,"Street Bump Outs Menu"," 4015 N ROCKWELL ST",2021,6654.7275,41312
47,"Street Bump Outs Menu"," 4045 N ROCKWELL ST",2021,6654.7275,41312
47,"Street Bump Outs Menu"," 4121 N ROCKWELL ST",2021,6654.7275,41312
47,"Street Light Upgrade Menu"," 2447 W CUYLER AVE",2021,500,41322
47,"Street Light Upgrade Menu"," 3634 N WESTERN AVE",2021,500,41323
47,"Speed Indicator Signs"," 1466-1468 W IRVING PARK RD",2022,985.096666666667,41398
47,"Speed Indicator Signs"," 1511 W IRVINGPARK RD",2022,985.096666666667,41398
47,"Street Bump Outs Menu"," ON & W BERTEAU AVE FROM & N WESTERN AVE (2400 W)TO & N CAMPBELL AVE (2520 W)",2022,1499.485,41408
48,"3 LPR Existing POD; 3 LPR w.o Existing POD; 1 POD Camera: Various Locations"," W",2021,19988.4285714286,42158
48,"Alley Resurfacing Menu"," 916 W CARMEN AVE",2021,19832.84,42164
48,"Speed Indicator Signs"," 1416 WFOSTER AVE",2021,5500,42186
48,"Alley Resurfacing Menu"," 5648 NMAGNOLIA AVE",2022,5542.83,42211
48,"Alley Resurfacing Menu"," 4900 N SHERIDAN RD",2022,7888.115,42214
49,"POD Camera"," 7500 N Hoyne",2006,36000,42317
49,"Miscellaneous Other"," 1335 W COLUMBIA AVE",2015,6000,42693
49,"Miscellaneous Other"," 1300 W ALBION AVE",2015,6000,42693
49,"Miscellaneous Other"," 1780 W LUNT AVE",2015,6000,42693
49,"Miscellaneous Other"," 1781 W LUNT AVE",2015,6000,42693
49,"Alley Resurfacing Menu"," 6412 N MAGNOLIAAVE",2021,30744.64,42956
49,"Alley Resurfacing Menu"," 1600 W LUNT AVE",2022,14447.975,43018
49,"Alley Resurfacing Menu"," 6600 NLAKEWOOD AVE",2022,10181.155,43019
49,"Alley Resurfacing Menu"," 1309 W ARTHUR AVE",2022,34720.455,43020
49,"Alley Resurfacing Menu"," 2050 W BIRCHWOODAVE",2022,29439.1,43021
49,"Alley Resurfacing Menu"," 1500 WFARWELL AVE",2022,24325.755,43022
49,"Alley Resurfacing Menu"," 1500 W PRATTBLVD",2022,18793.085,43023
50,"Alley Resurfacing Menu"," 2801-2813 WDEVON AVE",2021,5642.81,43503
50,"Curb & Gutter Menu"," 6757 N RICHMOND ST",2021,731.6,43510
50,"Street Light Upgrade Menu"," 6090 N ALBANY AVE",2021,500,43519
50,"Alley Speed Hump Menu"," 6111 NMOZART ST",2022,350,43548
